District,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dahod,143609.03225770794,205786.2968735257,230990.28732186175,228211.05031522558,230896.25694575335,231772.19983834637,232585.71638872672,230720.96952582904,355471.3546384847,389407.5179648975,296284.13636929815,308940.5258160319,288866.57639074296,296105.7784256626,243624.02191359794,313761.3308130876,372710.3318463616,344188.6969396553,361938.35257821745,385385.783179759,342641.01552141533,382739.03822599776,562348.6144917357,586314.5454390735,574358.010926257,582053.790431046,682271.0443251637,633941.0263869843,633593.8305042982,681864.4404770131,674041.1914456144
Devbhumi Dwarka,229599.73285604964,246978.751267196,237929.40074322023,354663.8566985239,372842.0705098619,369357.64946563874,398798.85424978955,473994.82005497784,430618.18479756656,482337.6878706443,430239.2419809077,416274.0497045174,414496.2666071712,475897.40564415953,416566.9277367354,533901.9326472818,443262.9829379742,511670.30826025427,470469.9252074475,566732.4884182193,577149.2944478808,545150.047929407,622864.9586755014,652068.831544436,675345.9779652053,822832.160853749,818071.0380618152,901432.6938925689,849833.564939883,1014959.600286129,899351.03460229
Gandhinagar,400486.165251565,390145.2996418886,378192.59929291595,431956.1043757763,438305.71647343296,529966.4823485102,465678.9884944938,508504.6747990066,581286.3897917995,528211.409097283,534086.5369743569,506939.8741373226,529894.7700485816,543515.1162467874,442792.1981950856,517403.90835519583,529974.0310116606,523771.9538326948,530403.8007058552,568385.0738018107,574880.4835388014,585647.7098865977,575081.8068272179,581501.5246675877,579687.9341311576,641991.4406594759,741779.4478561935,843753.8386499523,840825.7220928917,839527.5187542192,886956.3499291254
Gir Somnath,395881.20287863835,294933.7246437346,296965.69105793594,392880.4989255927,377525.6899771414,370088.5350324044,382775.8910097001,413888.585961232,423386.53398921824,392749.3305311463,409081.3328047423,374980.99230782664,379504.8753448455,372973.14592629654,371903.7184480355,404845.2027811171,386942.6745829222,415333.322943596,369235.1455415869,402655.61350923526,411196.86531416693,389955.56736974284,396706.6316499561,416563.1534051602,413768.7054837113,446118.95442939963,528998.599031438,501838.73103816056,539606.8364970572,534232.890853031,563201.9002158078
Jamnagar,299067.628922046,409411.2468236825,419802.3185814557,556109.8745930401,502974.6268598894,617012.0776324266,638385.9427635901,823326.0593830255,853757.1033696131,841596.8599424252,841441.4859805045,732413.0560033942,746406.7619439904,737577.7397765053,657909.3989924582,1071308.1363984358,845374.8541143985,846019.2188542838,845334.3447243244,941641.4627046073,1076371.841913238,971303.8914266642,1055362.6018691736,1030434.9363484945,1028478.7859182497,1189391.935481963,1125233.4691720405,1126405.6684072183,1088613.5786994265,1130296.4404683022,1161368.7305240098
Junagadh,538170.4352344774,562081.4311815879,547403.3255565086,686403.1388365512,630019.9636051304,763735.110071547,821229.2968289492,940870.8454778544,905919.5787255411,844813.9988697591,912457.0402251785,858811.5148293526,820133.7797382637,736807.7394079034,581563.6638384189,644925.4761680393,632220.0885736601,737542.3575952919,589783.2420452305,646872.09509573,788792.734945354,722110.6958085714,810338.648726705,934755.1422807357,840789.4881484853,1066682.7218673814,956848.5599749411,1029498.644329681,962074.0178955562,1007073.8758817302,956711.9535700142
Kachchh,413133.1440944699,523834.966466832,554342.7753775258,619963.9979667594,675462.6523976565,774796.1031313017,822442.710051016,909816.2356890446,950905.0623165587,1809063.009703695,1030450.0336747952,1509601.9919569942,1078387.4623661682,1127845.1492624239,1078572.4046133521,1173638.0666473345,1159979.7765043424,1161002.620361217,1181392.445586148,1154544.5894337227,1400574.366125204,1152045.3211522596,3336945.2161483667,4554229.338697803,3064906.3163942755,5692307.269835704,5633774.93576777,5662391.917770806,5539643.106282712,5643059.791442719,5719901.407981865
Kheda,372148.09526127524,384742.18664756214,382734.3733623731,449746.6513090182,473983.4970602522,441442.98171971523,446456.05795374996,527340.2787564712,514400.720317324,566183.9956629144,503664.4016997483,541697.3598763783,559919.8781255173,531737.750770472,414926.23802642664,515944.4354683298,465975.9076761776,542871.2895157267,543507.567583637,530656.0956723775,565496.3121286435,573391.8265434654,632006.7604591775,661874.5877811458,752099.4176284485,832000.3155820128,985775.4507015393,1002820.1353697038,1027366.0905558934,970215.483915755,1326364.7357518366
Mahesana,562783.566132059,575960.5986222642,573538.7209672459,623044.4282064427,911235.6776887793,678430.3407648734,636497.7253730848,695495.1475680992,782543.9093749189,765499.9324238203,806614.4337536627,641858.3300123297,673815.7648742355,575599.1899291005,529084.9378573151,583420.9571151012,571356.2895181276,661897.2337705969,616670.8109864324,641727.237449213,664549.459370711,695696.7165857855,942162.2179039735,943157.0106639791,775829.9591969635,954569.0158510357,1052906.6661774681,982988.8539659226,1029332.8315285412,1056204.6443444863,1137186.6014924163
Mahisagar,102061.23115740322,148461.23239701454,163909.7864382946,202175.98604884357,205471.70874260328,205324.63447163915,206879.0472551865,225029.02213081284,231121.09789453016,241896.88885644637,241988.36716300677,225357.9808220696,239835.27077758405,244818.30999463823,350486.53451531334,226665.48253418072,309252.5094373224,247362.11945052483,232271.1509535172,232674.79157671856,239310.57873464873,250641.80062281934,385977.1873739125,373322.549526364,372141.50133727206,403173.0109325673,408455.1253278002,447743.55759610253,387245.4898668341,411365.63699907763,417102.30212350126
Morbi,294809.17170175357,368822.23607188166,371480.4933041699,473839.34920535726,434869.8041994763,501547.6848856317,504311.82275105204,534749.7635629099,579541.558542675,638200.1598468563,596673.6097894348,572846.0083753708,576209.7045062262,607173.2541451732,501581.6538698084,575078.0289118543,527156.6213655743,571200.4999715599,526644.1701546834,575411.4341954902,625865.5734531247,575598.2627910466,993118.4427221346,864664.7893544805,764809.2048804046,885107.3989045772,901093.8775794696,949825.0357439051,1018065.3993832897,1022823.2031959043,1074394.0889487395
Narmada,220704.32686587013,240226.6146515964,201092.44056006407,202553.66975772846,211589.97872309215,217727.42295917784,326544.552095295,229588.4098613241,232099.03190874215,231322.35067962774,224321.88146187775,241969.49550513085,230126.30748737944,217431.8548704652,314893.1077441973,232617.91385285844,224313.11486847725,229603.5071876248,242671.56843018846,221580.9581530923,230403.9665658333,224027.64808894135,352011.6877086785,368826.01040345686,368506.94153990137,408801.5379213006,464007.7886805328,470325.31230507087,409651.9121104087,450375.9468162811,459659.9848690668
Navsari,231482.2138374078,359920.8926854916,343726.4263275883,304104.9280593885,305823.1840007945,313785.02372032515,362444.9950664206,352060.75401915587,374239.38737509475,372404.4845303527,370186.66765335924,358763.4317854342,377157.73041179794,371557.2623791021,299506.11042280955,368695.01102060656,347641.32322727743,368706.33401533216,369453.27175665926,371850.87780598295,371332.058823983,375086.67359193176,387287.00751416106,410342.2398542596,403234.9315073123,409963.85419397085,440758.984946118,525743.8777431711,452588.90680114186,515951.98413148016,573019.6276278292
Panch Mahals,250054.2742145887,221366.00406350658,237490.15422280427,288843.9304012919,288180.00393159897,295141.06243975146,308980.6903443527,317038.25588965387,352753.7006019558,348837.4334034635,342667.4358424416,296058.94857449975,313262.0048392823,297627.6033405848,234278.10322775666,315798.8854510756,285029.15798266866,342619.13265646785,299600.31493953004,372627.1700932884,379688.38208087854,378113.8520294084,509142.31500488933,500702.0646696344,527317.6327670201,524762.0751130776,560097.6282387434,573596.5344064406,573619.1803958917,589074.0923370814,777491.9707913882
Patan,297911.9859250259,319971.1879154287,323044.4632545247,384947.2778157435,371319.06782972906,400459.74493053876,399132.9077684477,413534.12469598284,451857.13940472266,544760.314017973,442171.59401473467,414080.532492923,417922.1904319699,376975.7622375954,366919.51359333674,409122.85045206937,366977.57814105385,414609.4965544267,446508.4704379591,454974.16073661315,408744.92294767284,412430.58461030683,661889.6851074466,826557.6457548109,727823.1522925008,921334.7927280577,1032003.3038795706,877846.3157183294,1002729.5514118994,945950.0849907667,1212592.2019137328
Porbandar,223086.05419897396,583955.9101091286,233611.67665053462,303919.9858122045,306711.3613996581,355253.3647216389,365957.0928390319,371221.4451013794,378384.0687446166,375226.32386021345,378295.01994501724,367417.5449006716,372235.85962665157,358770.98044858454,348818.56174558756,358820.51325287885,352648.01931785065,373739.5831304179,299371.8016740794,308648.59821437666,367509.03425049875,352733.712565409,371431.4269936925,375584.88535985583,374984.76663940185,411783.61705911794,419359.63755714614,463382.25016148464,451840.7459271048,469486.61745002883,509306.9696926538
Rajkot,559655.1672533426,588193.8487537628,577760.9547149162,820665.8602899122,762736.5068391798,1191069.3816925895,898090.0516073572,1212520.0474119845,1229130.8419335,1092379.804710162,1026674.278635127,931179.8387370384,981182.2068057569,957656.60757051,870226.6261939845,991039.5427484132,1002805.0380434031,995261.4639461463,1030992.5416221855,1171718.9890641498,1440084.334673982,1369163.4833509668,1040597.4942085241,1055384.8166084134,1069101.4626540102,1161914.0066628477,1160885.8233222123,1207876.2196105497,1246889.9652154457,1472981.8716239377,1380552.7501970336
Sabar Kantha,314798.99503809185,367417.486007095,349737.45076266007,386271.2020996092,386950.2232460726,394163.4608335093,375544.8690202853,416338.4153231466,561167.7290247496,520436.41082291026,530443.9924933858,440808.0512565954,527832.7428262001,408676.79849982564,372615.84709856287,483800.10929516266,386241.00744700775,438735.66081079276,384184.55327276344,412453.21567813045,409335.0615115117,418553.5108762391,635592.751670137,572944.1409963255,573843.920677437,626001.4493898313,704308.3605621696,656039.6549563236,728748.2050343336,765458.4147764933,820114.9080803877
Surat,570017.6768943855,583592.173207916,620373.2504596425,673673.360719852,661893.4594390219,826726.6969503915,954914.0874291146,896955.458193447,967731.3334464921,1072679.2131796838,1149334.209156043,1056772.2136528,1066663.589191971,1014993.5692703057,1207316.9907637371,1030334.2143900242,1446540.1867640417,1743718.8335662943,2000287.2521860935,1482045.9472796295,1808983.7487406165,2194448.549812733,1030238.671106585,1052629.9592828995,1083367.9816535057,1128625.4555252783,1161823.4227050433,1220561.3468996354,1177174.3498241352,1195747.4091730153,1389883.0857921934
Surendranagar,294481.26818721544,408802.0322681788,449069.4791569947,560276.734383607,538893.2086105676,570925.2150828928,580676.6535066934,640298.7048827655,782196.8619640874,759498.6071379585,835072.3028760286,702569.3843920553,667006.5971205059,684575.9201644908,571679.1978196637,688612.9265919164,584393.6162979292,623488.3573124054,638267.3667975004,731569.3054390481,699482.8462971834,636543.017351987,2159378.646555821,1022696.9679114515,1038782.6499490254,1140088.0292454064,1161853.617357645,1173886.3001839258,1145996.815154466,1177189.447150436,1279923.328253213
Tapi,246834.85166854062,238498.96439132243,242188.86357851632,247318.00296196042,237279.27512575837,241778.87480527497,361352.32279893983,296105.7784256626,315417.31764815596,317038.25588965387,320242.27634691395,288541.72132841643,297555.0615292064,335106.59719326464,370776.04892838927,313708.490171035,298474.50553871394,305821.8464148566,288853.3605715038,352771.45588116086,318051.0072583217,341951.00843434496,413787.5771415872,441467.031861401,453747.73043274815,537614.3871918543,551012.3467370925,503796.47710184165,514631.6664491985,516590.5766851848,558769.1794938515
The Dangs,62172.707220609656,80931.20096828385,109514.91173534615,82958.3557203022,87353.6444351629,109518.68606692133,83348.6166220885,90814.33047045632,114283.68275482545,91265.29383868695,78606.65359243574,93100.57064621877,97412.49153330848,100195.06002466485,83529.46359658673,103872.51787425404,91895.399073575,78909.53171252813,87566.99691103988,99302.31497109146,78698.07187298335,101491.51918660954,203892.7277180931,238467.94358867468,249677.34193532015,392852.6086896419,297930.8575829018,298306.4345350729,236627.18270381482,230757.09955569924,977017.5588232917
Vadodara,542886.3868420274,572067.8842412949,544083.9078337974,644543.7532190009,613996.9023501921,618994.4803146248,614571.1894239554,630019.9636051304,688351.3738670909,690803.5638632296,801537.2002324181,735272.509157,705464.2000219066,622695.1137546182,577131.6983524893,670542.9745467949,686883.185971197,766363.7609285059,684644.3215602585,762566.6619182966,905265.1828397851,799547.7085921713,958640.402181638,987275.3407949843,984416.9743110469,1029442.0293560531,957701.2989967602,1083386.8533113815,1087832.3566411163,1129599.4004982112,1143021.0404387435
Valsad,447078.82466062345,315301.93303902686,299766.0792540258,369555.27093191975,366806.2836460813,371262.9627487065,376887.13830338,386331.5914048121,413971.68900708697,413613.95788912877,414061.6608350471,410197.04681731557,413407.5812058098,413897.03275726753,378180.25483955676,441507.1453564933,461759.0528536241,472393.8434124904,482322.59054434363,553697.1591207566,537618.1615234293,552942.1048032459,564690.7742267133,565526.9619032026,566038.920530386,574064.7139583734,626642.2051142491,706533.0804773452,678784.8242415333,668209.9652454295,756833.6433714094
Ambala,382231.3706003635,377143.85898654023,382144.0190046085,413738.5108311099,469046.15807138855,436143.0794189016,459682.6308585179,495773.95397119503,507679.94143109024,526875.9600030576,536897.8144916748,554217.3555681015,571749.7785940787,579113.9289077033,573942.0597556039,559617.4239375907,543892.9641271486,617760.3490567411,567368.9661913691,641918.2243056284,583362.7023618327,575112.0014798193,573072.4682698817,525118.4227300971,511441.8931198865,566174.7964670926,533014.3519556047,569634.8651847144,619620.1955504002,612992.8982381686,761913.968779798
Bhiwani,551624.3122724653,435450.6092332617,411489.6496272481,516647.97818666353,568006.4855897609,565409.5025024143,572819.8418234872,582501.4388715298,573275.9329424342,573826.8875476186,582314.3125402872,571478.1404241937,627742.2278271513,624177.0776348552,585852.4139506641,651816.1185691431,628691.8541320049,855109.8922267398,657275.4766679826,647354.4439094622,776667.7311575889,980608.446716274,959634.2569389838,859223.0154323583,779136.1992931635,898629.8521157922,920457.4587717842,893214.0648583235,951564.4337232476,962867.7805740358,1100030.734016618
Faridabad,371315.80339075904,373145.1559423304,371926.3644374867,398775.12074518175,417907.09310566913,449078.0425492393,407114.3765103079,416519.5832387554,481626.9707700822,504900.6330694535,470503.89419162413,482922.1219287461,532950.9198590191,551620.5379408901,537608.8122113753,565968.6059520565,535095.3304991042,596192.6239869668,617149.8081450673,595026.5789681087,647124.9382621261,651941.636960727,624082.7193454755,584816.9205304686,648635.8439240056,633053.3668633405,644310.2010063262,656581.4957245752,765496.1580922451,755113.0082793619,898568.754465429
Fatehabad,390137.75097873824,370039.46872192714,375759.03610718274,413090.9246823357,430167.20122598583,468705.6755017407,439985.9850271729,429252.11798534443,532748.0100501123,513124.78382655204,491222.8197808228,527956.936314115,562852.9639067366,508189.10851167684,523324.10452653497,573168.7970156679,544610.7320319768,666568.7470246846,543467.2412256259,569190.5897478574,614364.9333851788,597697.2256908311,523062.9469233988,541648.4316014916,443343.9814812133,501792.6467714244,508285.04953675997,547459.9405301363,560159.7301047764,570722.4078040209,653478.7963717665
Gurgaon,369223.8225468613,358774.7547801596,381538.24535881326,413004.11505610653,439985.9850271729,469038.6094082382,451568.7716106486,438982.7261348252,535858.1864120933,533790.5269017386,532364.0970780087,559189.7303921819,578537.3819969877,579421.0009009272,576307.8125286112,573048.2209880644,573918.6089267716,642187.8368337008,650749.8355422809,782992.6505472474,796821.4608393932,782196.8619640874,773820.496702944,695647.650275308,749076.1349301868,997031.3724813991,791596.1766962007,753716.3847467564,840177.9691381912,934698.5273071077,1032873.0488139963
Hisar,527949.3876509644,527020.1213501784,510773.68458341184,565182.2862813008,584835.7921883444,570095.8183310615,572955.1744345727,585359.9278345982,622666.4621700565,623187.3782410265,623192.5158528658,637062.6771654914,726261.2109802245,643527.1397398026,618384.0483044271,765567.8703921735,676736.9629946924,915083.6953113069,837454.645379621,841419.4977284429,970806.3089285014,944038.9273778774,934007.5324785284,806720.1150377678,656291.9733719021,747147.681304007,842760.3569301424,912579.1153014743,957306.1623916818,1085694.8502808495,1057364.6295960338
Jhajjar,341027.8759706681,294812.9460333287,294752.55672812584,366885.5446091601,372739.8430097026,368174.456690216,379695.9307440289,371186.9772331367,395189.34512362303,447307.4603260413,440879.0587447972,411092.2044319242,460555.92811541585,408218.25461103703,412513.6049833333,465456.37794572784,437006.4090439786,570171.9458918303,505249.4602534541,521452.0090859276,573102.3041398058,585790.4635240186,588152.3311064359,594954.8666681802,533601.1208057647,581586.30982787,577674.7573432511,660506.9774417619,679360.5424957498,657298.1226574337,765530.1270764217
Jind,412270.7894827318,374739.4350870149,375349.7417431054,410375.02456587955,439547.705949226,443662.28774695745,487903.91886890127,434595.6165176592,517983.4742169582,559752.5996540746,496662.0968519056,529752.4017112659,525390.1746035102,542463.8158739753,522901.11092621676,573093.3103841642,565277.943695509,690814.8868579553,570967.011621177,596253.6916798538,711774.3963399323,623469.4856545295,614466.6417898602,575032.7405167405,566023.8232040853,575697.3225500552,616985.6573114003,614440.2214688339,630004.8662788298,661823.7829417895,787884.4649071689
Kaithal,398749.78793931217,375018.56490002363,368904.44575790036,413890.6708937899,411742.53067719605,470729.3677319752,409879.86995656625,440445.92682119325,468396.5629245145,510269.6737177086,506877.7557220369,542631.3567365683,571999.8097938163,518914.3472422987,503853.30350327026,558655.9495465959,529380.1100311679,637456.2648741711,572921.7487760171,570850.7350775772,622821.1506585231,625027.6489519317,575818.2763461618,571927.1803680527,513636.1709837227,529626.5532767597,530921.4391546072,560019.834202512,571670.517631,571790.4851027908,580741.8222549303
Karnal,531412.9023301412,495347.5495586486,461766.60151677445,530207.432546323,572776.2665318489,585598.6435761204,576277.6178760097,575704.8712132055,585909.5410688078,624353.9497680488,630053.5338836137,626013.3100789553,709552.4241327788,691036.5443270175,624135.4875839478,626245.6486211395,635131.1618247936,898937.9360164086,826518.0569394813,847630.0679714136,936832.9854226457,998436.6505306507,920168.3859423646,844507.7829954443,690897.9221526092,846900.5111644537,822756.6742222453,863434.3995304132,1620356.4622786287,940885.942804155,910336.6396783721
Kurukshetra,418370.80211440055,375915.9075405924,371499.3649620458,432042.124177312,495385.29287440045,507881.96787240123,479088.12727734307,500504.2494977179,501705.22200739663,573573.8884169895,572772.4922002737,529623.2044211533,570889.1048511133,568594.2179771123,516643.4173272373,570925.3503208681,549170.0292655108,592048.0721647828,491364.32112981396,533623.7667952158,584333.1004589672,562850.9942350195,563453.338144319,535858.1864120933,455167.83236534754,574717.8867594327,574710.3380962823,574987.04371512,560148.4071100509,571923.6445971587,577169.441668241
Mahendragarh,289071.03434752784,401419.5451333712,389366.0003175706,341962.3314290705,352742.3776072303,354606.50534669,372046.70275180944,354523.470052036,370844.21784957015,375541.0946887101,386176.84381022956,376634.2580878427,416752.0846381088,390194.365952366,383690.3959807928,426319.7014914902,409399.92382895696,461497.6136901307,414392.7193120869,441115.0246055159,501272.10223607905,557768.3608612404,534929.3372056559,467993.7854720981,459652.4362059164,607964.8373733554,534422.612551994,515979.46587444254,515929.33814202907,565154.1888578943,530659.8700039528
Mewat,225454.0003402232,199912.04053709222,262185.6841673421,244724.8984103812,235186.29769149376,239267.19218698516,240631.35797806783,247374.1094620605,237186.93028549768,353719.6871531158,238066.1010106669,243874.67347783045,333893.33502763434,442195.51913798385,352892.37856682955,285760.8805609643,294605.3577966936,370276.2878673524,354606.50534669,377061.71751603665,378384.0687446166,402907.74566688744,546180.9389454484,410250.0302462578,412799.27343976154,460147.88771171094,504296.72542475135,562418.959069961,571841.6601137616,576876.4107204931,590794.1803882705
Palwal,232716.0464738132,246627.98503760385,234148.66537537434,288072.57513942244,240318.0206211191,243821.2322116176,225634.2838850209,234425.62870119323,358946.4927377277,369459.07600968966,355001.47214432503,241938.59978934188,286251.9167122117,361930.8039150671,303991.69811213296,341487.1983170274,341073.16794957034,375537.0362881177,347342.6155864893,349762.8514743003,372566.7807880855,375484.1933012236,376724.84204564715,357974.2205891027,368668.5906995803,375980.07117737056,410163.8293550135,436127.98209260084,438997.8234611259,488462.04082629055,528537.8512229471
Panchkula,351275.4917173735,310875.7931113883,763954.3260445208,231272.80909974102,242007.23882088266,233147.39204738534,244770.4254738815,245968.66708101335,227424.99481527662,240239.37249611612,233897.4131677147,221500.87717958048,349025.8715440893,407567.9677727394,291099.2018952258,286838.3091397535,390991.10909288493,313780.20247096353,289093.15156194096,319740.04453813727,349762.8514743003,308015.9856906869,348068.61126073194,345924.5109867372,354542.3417099119,357494.7025076235,371918.8157743363,373083.34991682763,373125.1139965073,386195.71546810557,408805.12577338185
Panipat,315290.6100443013,299484.6870373155,294993.8635083193,372724.64134710486,377469.66243516136,386260.522055957,378234.63063981425,409765.43433350656,412441.8926834049,441099.92727921513,436307.2225662979,410223.06552481186,505719.6107262264,506465.8405285189,495377.74421125004,522581.35613253573,512486.48565887084,570932.8989840185,519652.9424466084,524547.3666257815,563663.0404007476,562615.8139440791,565478.7915895565,543884.6075272326,552554.6012078627,515130.15138624114,521080.1631540254,575078.0324956427,573470.7829988926,568920.9337840014,575689.7738869048
Rewari,391454.9260662457,221456.39135692804,237947.16889830877,287218.2724417008,319325.5041024489,318978.6275849715,305934.97950038116,318994.0415820649,381647.70097449346,375607.5313493069,372641.7103887479,358034.60989430564,377249.4741345975,368916.35829733434,373268.7106896832,375488.2540466576,375949.87652476906,449126.09413062246,411542.05983830633,413534.12469598284,534842.5275794268,502120.8384007498,515061.8141639456,440548.93497038475,459498.47927488043,465983.456339328,533183.443423859,529087.2297001203,538537.1492590212,516666.8498445395,530211.2068778981
Rohtak,296117.10142038815,354677.08525721455,242303.1229887081,304116.251054114,348939.3403559934,317196.77781581157,352859.381886061,369760.7117952358,371466.77665376634,379504.8753448455,379517.3307187632,373137.6072791801,399148.00509474846,390768.5087906038,376863.8348644865,411942.1389852757,414361.3797282443,522225.4173263451,440305.40852231765,449077.4569515833,517995.4523422096,515906.6921525779,544639.5045598825,474657.5820484565,412755.09682269796,543163.4466139147,523365.6221738619,541364.69767056,538668.2081636159,560016.0598709368,565167.188955
Sirsa,554187.1609155,608105.3900097179,440449.70115276845,537051.5177229316,579537.7842110998,573385.1718382303,577213.458084659,560989.5448041765,571704.8638535968,583131.2752668428,619262.9446286183,638783.1021345746,754623.7315115132,801552.2975587188,623070.1592206386,664078.9898397698,641533.3662789577,952835.7670196196,797569.8562350582,941181.231542677,1052796.5775058616,951692.760996804,754546.4120570238,760541.2121945951,686665.4827439322,755126.8371469284,842749.4342241521,809822.8407756459,870234.1748571349,909891.7223205483,909044.3546062546
Sonipat,380257.3876056312,369441.79459288093,352606.5016705237,409010.48964950256,423371.4366629175,410113.4637413766,409219.8219573428,462292.3585283091,513799.07510241657,525612.5479667875,491520.7846096863,508036.4848841585,569177.3181509674,568170.0812751992,533188.1902393852,581839.1599546167,570862.6845300872,648668.5006354229,574015.617282966,633038.806334157,676545.9815271233,662073.692357094,765336.6119195988,647116.2776147632,684472.9254459093,714317.6996301048,690980.0636901247,762661.0202076761,846787.2812171982,761145.6382355803,890311.8922083207
Yamunanagar,402532.87271425856,355476.476012459,436454.4576405969,313654.0756555476,341638.54118130216,369513.5068928094,355374.14333204477,372776.6393645559,372423.3561882286,387832.204208675,382996.02453909116,373080.2661007073,415314.4512857201,384008.185909322,368178.23102179106,392011.28603735333,376656.9040772938,412527.2111390684,380121.51166892453,382227.5962687883,416413.90195465036,411938.3646537005,412651.8425719372,387349.50817432074,375672.57245291193,416262.72670979187,414477.3949492953,462516.79761013266,440709.9186356407,558506.9201519367,523237.29490030574
Bilaspur,153681.6512408932,172924.12190340817,149506.28372897816,217701.00263815155,763943.0030497952,204389.611013003,284141.00274197524,233526.9206296126,241990.07123745373,234151.12632381447,233897.4131677147,226280.12737425204,365243.5558449284,238478.4287702262,236632.77856030257,296230.03454876575,365572.8858448835,331814.71534250263,355012.7951390506,369976.03591829893,288845.8119083534,297082.6953367666,798195.0682584461,365572.8858448835,373190.40622324933,296068.0351099107,295344.93564863625,301023.29752090183,295503.6466080497,313856.7360202537,354887.00648858864
Chamba,108302.27783575754,108290.954841032,87500.62110897806,102057.45682582805,107947.39701556752,100187.5113615145,195234.30087829786,132890.7839976653,148005.4403780691,153134.34398407603,166537.90543569092,181881.18536839788,205720.15627284118,197455.7103344521,192352.24582328912,223495.23886152194,202403.07195138317,205166.62345586543,197350.50310673975,263104.4090818966,260979.07932684416,226697.23181833746,417595.9496901889,409720.1423546044,482333.9135390692,776607.341852386,760448.8318950819,831486.2550352478,409895.77571923076,447285.9231903161,463527.7936629748
Hamirpur,110861.85935156564,105504.93816223578,104001.97386157513,145597.38509349123,147905.4184458546,146012.6017036653,205170.3977874406,200495.8933817956,231268.2968259623,240468.44839658475,245033.01556784663,245154.07588491216,241365.94013660683,246694.27634399463,239420.034350329,225634.2838850209,248107.31581476095,219714.03712462555,238377.46292100046,232785.82803299616,246759.89211915302,237186.93028549768,241880.7275491916,226853.7951900336,241757.9416152817,238657.4161642698,372022.04675359,433326.59991025575,222098.44552858546,357231.8533142307,474763.90064836526
Kangra,206905.4675762128,199534.34556421652,217708.55130130192,238931.86177774786,240656.413666614,238483.73092210488,319721.1728802614,371527.0677265006,400459.74493053876,399089.3183276877,412960.31118804007,448305.9141039026,513799.07510241657,459304.45269442134,435175.9952152997,518056.74510953465,531499.2428798248,569874.8305937621,511718.01851796237,573833.3271757468,575194.3306462177,565098.9163480832,576928.831339086,578087.5557313189,582668.386625335,791744.035686667,819055.2726557859,911247.6560526141,613392.1119842995,695504.0751321573,861360.0147397463
Kinnaur,54337.02783576172,54402.96156240435,58395.185165780065,91274.99960598019,91278.77393755538,144723.26045653768,95171.7704193968,96306.12736967074,91572.96652018819,98623.84650881344,96771.89528235875,92297.08816680855,92148.15446927636,89023.0014940879,91579.20187075021,105389.1131423023,103219.00008168316,101695.71948639734,143083.75969687794,147272.6879823466,125167.48369117826,124186.40109142264,350035.88292671164,294960.1449647608,238237.45065964828,897090.7266058003,773692.3241622323,902204.2642132792,365220.90985547734,402693.2695490716,308061.91676308174
Kinnaur,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,57608.697061777035,69342.91085951192,57608.697061777035,95175.54475097197,91284.16549656285,95175.54475097197,80748.61357738853,80744.83924581333,60451.00366360741
Kinnaur,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,83419.67099878621,83419.67099878621,83419.67099878621,54337.02783576172,54337.02783576172,54337.02783576172
Kullu,104778.13787244436,83485.75920148638,83409.00592729144,91564.10454444948,105858.34766716557,106866.97624698754,124405.19544395972,161207.81298265408,205010.87750011016,192787.44444265068,203427.54896825427,204579.51824427,205369.74097999334,193675.61706754044,265923.58267898764,240955.94077092278,223825.550836329,200065.63368077786,229746.4357944962,231418.44531468124,239229.1153562306,265570.6616055433,371201.19276760635,369888.4954589198,368155.32113241864,706031.9783614591,675930.7594660544,686571.1244545525,378285.9361236619,394691.0881265125,421515.3844072791
Lahul & Spiti,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,53554.796147238776,54337.02783576172,54337.02783576172,54337.02783576172,60249.341416097945,58637.12541831515,56435.518491506744,59034.53806450521,61009.028256503625,54337.02783576172,54337.02783576172,58559.56897262671,58676.77335746402,54337.02783576172,61007.66132613184,59446.06914909227,60050.43481296441,61007.66132613184,163260.5966792686,206580.56633767494,151844.97447883626,1299476.0525990091,1280027.2660532861,1290031.959338912,209319.44523973076,231447.51016495752,239274.74085013554
