District,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Prakasam,376773.90835612454,575624.6831120729,572702.2942190354,582751.0783747532,807274.0087145455,573524.8221065121,823680.567800601,785756.3829308747,794991.3913473046,832701.9033334305,1005975.4314631032,769576.2419365627,1005565.7339987364,1014934.6273093574,907503.7567868639,1064157.5187546618,1063352.1982426995,1056593.40049673,1072327.267484646,1043633.4548227881,1127272.869197106,1161063.0096664198,1518008.3710236356,1689769.4258194298,1415008.8805811163,3032263.9065656736,2654476.8696531397,2562312.4152306127,2579224.532129666,2749609.776218168,2753637.567958964
Srikakulam,352525.9486224132,369220.559999673,400482.39091998985,439715.03222679585,607953.5143786297,411760.576198627,462278.48871544516,456559.14308860013,508302.237826762,503242.12497916905,523893.72108862066,507515.4840485438,565186.060612876,438187.5435915767,511102.2909439144,523503.8944742585,534644.0822788049,575579.3911331707,527115.0057366393,566953.951332308,619583.700769087,575040.2855961024,759059.5641732732,899014.1255913004,676901.7376122058,740090.2440386073,790554.4616391942,912528.752525107,893694.7021705563,957411.843675787,949706.2297400082
Visakhapatnam,448726.39398521604,530020.4880268915,564573.2172000183,558735.2105096749,524625.94802232,565979.9289467819,574464.5892997276,584381.787501076,583512.912244837,576193.1122462136,688628.0239182172,597207.8538932687,791253.855087669,628429.0474374025,700804.9593001008,825298.0055999402,764003.7950710264,1042391.2174222957,967814.9201755486,893743.5573347596,1255456.3704322658,987569.5181520432,1056080.2047211688,1209173.3607717773,1146445.9606119127,1543117.316594119,1379039.9565237318,1368170.933145286,1255191.0633814011,1319547.4476281407,1372101.5968090692
Vizianagaram,299736.1908762366,353014.1294806434,368152.6837064721,373121.5117582511,398345.4542797019,371244.9770506355,398341.6799481267,390111.3306577119,414384.0257176955,401520.2266711369,414530.23559134785,416134.39943623566,436382.7091978016,411982.3640000488,410248.3527669857,439604.3209228537,409242.4679467939,527511.0521454344,438201.3785526431,509318.29268737946,526400.839084087,508300.1468630607,570076.9775114764,650299.880533964,565308.0506718421,669853.8752500132,807304.203367147,989894.2244235007,628440.3704321281,676665.250694764,820677.1832846376
West Godavari,412430.56968867936,506167.85224217706,523842.5151299823,581475.1043465615,564200.107945532,569590.2084653032,583153.6424150745,637329.8531743308,636616.3765919118,636549.385281867,822930.3573474217,788621.4222958781,1009794.7214587074,809376.6043549754,774255.0797711601,958950.1054508798,935485.637657267,1053329.3913138888,1210065.779851134,984243.3550585886,1352044.7263646843,1218242.6666156447,877906.7050235323,1054469.6315455006,1240145.2007753311,1037517.2398466328,1023581.8438425158,1127119.8179325175,1086278.1062637751,1140233.6454465138,1154469.102802219
Y.S.R.,369456.8919191817,573717.3130168464,515058.0398323704,576062.5055747941,566898.2261004727,594973.738326056,670356.8174198605,835068.5285444534,653380.938644769,903735.6429276128,780108.8452715011,690799.7895316546,1198544.3154959364,1376491.0170211506,1060199.6110636604,1083587.8637165192,1057278.1160165595,1035667.6717755366,1069913.5349205814,1029529.0967704506,1070124.8974887915,991303.0408863233,1281951.054412604,1281905.762433702,1162697.698635509,1543509.8470779378,1380585.9846896634,1532134.4475936638,1415582.5789805439,1702541.5460215174,1520455.178835585
Anjaw,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,78634.49043127063,91640.53909127288,83192.71400102836,103196.23573290695,91702.95460338354,118514.76466920022,107035.68915122189,102655.19468208746,105905.09488098859
Anjaw,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,58559.56897262671,54337.02783576172,54337.02783576172,54337.02783576172,61508.13690370102,52844.45655576073,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54238.35224600731,54337.02783576172,54337.02783576172,54337.02783576172,143211.02046938127,152199.34196211034,102872.08372740865,198938.0399883796,231492.8021438597,130185.14680505464,101998.97737646294,147991.01516112135,144829.8996216042
Changlang,147890.222828924,138886.66011283838,98805.36514237693,96204.24561692153,136644.8120767134,106775.04316734041,144181.22224083787,142207.30134050237,109160.57532085846,118560.26781746805,113367.56550071247,113874.89944872815,143389.23753373386,121800.74385840252,121691.36788004507,136540.87157006105,109366.03846650942,135115.29927618286,147447.25777666553,163356.41147297728,148028.9419596702,157603.28063120824,361163.56150173565,444543.9475401168,244150.0792372824,317147.7115053342,295288.3206750085,305989.03856417193,286951.539087009,316272.67014962074,353575.94562746375
Dibang Valley,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54238.35224600731,54337.02783576172,54337.02783576172,109160.57532085846,110836.9474465418,156435.64963519314,372655.86075415,460567.2511101414,289394.1461689721,89019.22716251272,143240.54089648093,163917.33510144497
East Kameng,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54657.20881242057,54101.88545196418,54337.02783576172,92215.449004895,56435.518491506744,54337.02783576172,54302.22292177386,54337.02783576172,54337.02783576172,54238.35224600731,54101.88545196418,53956.55926432783,56435.518491506744,59034.53806450521,58415.3993084007,57651.494280591316,57646.041913737245,58395.185165780065,216846.61493123625,194850.48401640754,172927.89623498337,230407.74464105928,248257.93156900443,285762.0261592152,149315.88935849592,196967.2117946036,262197.0071620677
East Siang,54337.02783576172,52933.10975166067,53554.796147238776,58644.09420385908,60949.13916965399,59847.76356347376,59751.19892655651,59847.76356347376,54654.14103815909,54654.14103815909,70254.48920910787,56378.4546935529,58395.91530256588,59352.158378669475,59114.703146608554,59426.76475594995,65301.003707970696,60383.81675920592,59522.94141337314,62484.74056004637,59602.54792426219,60271.09728139727,209364.2775164355,206380.69677145252,156267.93372124244,200358.66816384174,251963.2820273432,290316.4881305579,159255.4004455459,1292645.6413131545,234591.643837336
East Siang,54337.02783576172,54337.02783576172,54302.22292177386,54200.26941786776,60249.341416097945,59599.425710362055,58657.44010879781,64721.34799232132,59455.037039739305,60125.00153055168,60551.19298721423,60945.3648380788,58235.82290224643,58572.38712258075,59843.98923189857,60551.19298721423,58255.099082192166,59599.425710362055,58235.82290224643,61332.23701768803,57607.69193888293,57788.480052729195,152640.01566381872,216991.89109690022,154078.91183770212,224093.38070618114,200215.30820200077,205369.74097999334,205101.83704626188,163345.08847825174,205009.75641675098
Kurung Kumey,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,169501.51083582905,148495.20138119117,129870.74053907576,414906.4802273962,371918.37547825323,163260.5966792686,106131.21787095237,105531.35848326205,143914.48137005643
Lohit,58462.52386588668,60050.43481296441,54337.02783576172,52791.20343937516,58344.948689577024,57699.84673340932,58518.564219456,60633.290550221944,59641.346516810096,65306.95918610108,63494.461749061935,81851.93442212205,69190.26198862525,61656.598736070824,59637.03709564213,71456.58292955911,62737.99012175269,69388.94126681222,63320.55247442715,82143.44216272367,82492.25844336089,80919.87797355831,241052.7278617106,221273.60490190354,152166.37826094532,241859.14554069456,241847.82254596901,242646.14998643767,234141.11671222397,237570.8630051888,223471.53717112783
Lohit,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,63309.369472669,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172
Longding,54337.02783576172,54101.88545196418,54359.61781417905,54657.20881242057,58415.3993084007,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54337.02783576172,54098.111120388996,54337.02783576172,54337.02783576172,52933.10975166067,54337.02783576172,54337.02783576172,105376.79477592616,143159.79840111046,101199.44251698698,230419.53246379844,156168.36818128175,204909.27027301744,124134.81457187957,145709.78418707164,149393.92709747455
