Name of District,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kokrajhar,2264,1795,1942,2270,3998,3861,4163,4687,4969,4113,3923,2469,5964,5374,5422,6348,7545,6160,8419,8349,9590,8512,24101,28283,24593,30458,31753,33246,32613,34794,37203
Lakhimpur,584,408,577,600,1357,1170,1046,1474,1109,1267,831,812,1662,1229,1306,1862,2146,2327,3360,3947,3339,2932,17255,23926,17024,27479,28314,29439,25546,29387,31915
Morigaon,2121,1760,2351,2029,2854,3238,3105,3132,2554,2291,3247,1775,2751,2774,3568,4258,4061,3786,4248,3950,3817,3655,13652,14989,14015,16763,16616,16763,16328,18137,18901
Nagaon,7121,7010,7982,9277,12807,11007,10812,10755,12737,11385,12677,6756,11809,10444,11721,12833,13224,13722,15026,14862,17572,16143,38210,43123,40122,47181,46975,48105,48672,52628,55499
Nalbari,2868,2407,2366,1857,2519,2007,2177,2694,2258,1627,2113,1625,3175,2911,2648,3217,3519,3362,3435,3976,4255,3247,8799,9452,9112,10670,11179,11446,10610,11949,13220
Sivasagar,26299,30554,28919,24810,19625,21174,19681,18786,22556,23407,21612,19367,24161,22848,19526,20119,18298,18774,18773,20599,21320,22360,38428,41557,41032,46901,46940,44754,40538,43789,45627
Sonitpur,3996,3551,4562,5441,9138,7417,7551,9178,8723,7504,8045,6307,12284,9280,9250,12095,11999,12878,15521,15095,19022,17386,43710,48667,44336,55277,55802,57172,53900,60842,64255
Tinsukia,13980,16169,16118,17128,16456,18070,18606,16811,18245,20244,19775,21033,22324,25071,22843,25730,28112,35057,30560,35238,39822,38591,64891,71204,58731,64055,61819,64368,74611,67274,71682
Udalguri,2531,1614,1753,2293,4023,2911,3875,4377,3804,2425,3115,2214,5332,3796,3031,4851,5335,4646,7321,6846,8039,5997,19422,21600,20431,23069,23042,23444,22209,23998,24330
Araria,437,691,736,1111,1427,1913,1793,1670,2247,2597,2932,1844,2683,2021,1922,4385,5416,5984,5238,5396,3769,6205,24697,29858,31692,37774,39918,44936,49570,49884,49042
Arwal,0,0,15,0,27,0,106,64,108,82,70,170,103,72,48,84,56,190,221,285,174,803,6618,8250,9020,10734,11326,13569,15535,16234,16691
Aurangabad,1208,1760,1856,2549,1925,1983,2937,1945,2919,2792,3618,2759,3688,3130,2352,2648,2334,2960,3778,4456,5490,7646,35333,40913,42986,51789,54337,62964,67680,69903,74067
Banka,27,404,288,641,1243,1005,1037,989,1483,1326,2024,754,1178,1697,1722,2356,2034,1597,1052,1148,2263,2205,24023,30601,32001,36614,40240,46701,50520,48283,46849
