Name of District,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kottayam,14826,17093,16057,19707,18121,16596,18881,19844,22843,21981,23710,21071,26503,22944,21806,24559,21682,22947,23123,23184,25042,25332,18598,20029,18628,22143,22447,25612,25440,28547,31473
Kozhikode,11661,13968,13430,15996,15272,13944,18376,18195,20061,20697,21253,20434,25163,24069,22140,24322,21819,23221,22833,23722,26195,25730,13979,16946,16149,21654,21719,24313,23274,25822,29261
Malappuram,11558,16502,15990,17899,17435,13941,19803,18362,21024,23481,27983,26924,31215,28066,26183,29270,26279,29430,28950,28755,33574,32882,20762,24127,22302,29476,28542,33530,33185,38559,43201
Palakkad,14341,22589,22230,25940,25000,21712,29001,27676,29595,29901,33486,32932,40589,36176,34585,38069,33740,38809,37893,36482,41839,40163,33732,37669,35517,43119,42910,48457,46388,50661,57252
Pathanamthitta,10637,11831,11430,13761,12868,11005,14294,13141,15487,14555,15998,14720,18853,16672,16285,17899,15152,18254,17814,16897,18590,18271,17524,18538,17829,21012,21283,23831,24095,25180,27807
Thiruvananthapuram,21429,22924,19935,23858,22476,20266,22758,26235,29666,32936,33852,30980,36270,34218,34720,36906,32739,36539,36917,36454,40841,40411,27779,28623,29252,34381,37376,42697,43069,46389,49430
Thrissur,19142,23117,22360,26738,25672,23878,27803,27752,30788,32576,37430,32697,40860,38353,35871,39099,34890,37658,37301,36113,39898,40018,27664,31694,28712,36267,36644,42867,43037,47763,51375
Wayanad,3443,4001,4621,7545,7605,5626,8191,8020,9853,10219,10449,9199,12210,10272,9687,11914,10396,11147,10297,10590,12426,11943,9632,12425,10083,16086,15699,17142,14461,16246,17993
Lakshadweep,45,154,119,141,177,143,161,147,138,119,154,147,157,137,105,145,138,161,142,181,184,194,269,274,271,282,283,289,123,298,297
Agar Malwa,5232,7648,8986,14675,12969,8384,13532,14816,15642,10193,7060,3590,5896,5833,2583,4468,3185,2414,2008,2671,2693,3337,25739,26593,25818,29893,30848,32860,33206,33899,36786
Alirajpur,1039,1160,1941,4106,4867,4477,6317,4504,3471,2749,3322,3194,1846,1545,1123,3347,2696,2319,2035,2467,2252,2856,27167,30051,28675,35569,40489,39526,34615,35853,39265
Anuppur,5407,4988,5909,7978,7719,7236,8782,8321,10359,8421,10543,8450,10665,9247,8219,10262,9155,8861,8193,10985,12975,16164,27052,27549,26532,30281,30184,32620,31263,33264,34414
Ashoknagar,2020,3870,5690,9005,5881,4199,4740,5494,8002,6601,4486,3484,7437,5946,4670,6154,5010,3775,5218,5512,6857,6684,44292,44224,43112,51538,52411,58443,59336,60643,63222
Balaghat,5732,7197,7348,13037,12454,8050,15301,12969,16208,8604,16547,10885,11994,12694,9277,16100,13235,10166,10491,15428,20315,21244,63556,63795,59575,85133,85235,85469,69318,75651,90075
Barwani,7750,6703,8828,15739,16883,15504,19762,21189,21219,16499,16173,10860,16610,11974,7175,14814,12429,9530,9224,11269,7825,10051,39047,41018,38386,53110,55700,58294,54556,56225,61250
Betul,8688,10751,13564,19613,17141,11163,20625,16246,19783,15047,15083,11923,14956,14354,8240,15390,17320,8225,10410,14520,14412,19309,62701,67514,68320,96405,98304,99009,80745,95463,102310
Bhind,14815,14629,19258,25004,23576,18569,19273,15247,13000,12787,15787,10786,12217,10672,10772,15177,13561,8014,12687,9479,9432,14079,49328,50973,53289,63859,67306,74957,74867,78541,76652
Bhopal,21046,21764,22644,29149,28420,23165,29044,29950,29282,28162,28865,25127,30594,30144,27999,32058,31640,28965,31890,35463,39928,38553,52204,55713,54830,60453,64038,70212,71800,75408,79460
Burhanpur,4630,5496,5045,8771,9472,8382,11673,11052,12502,9373,7086,6144,9101,8102,5008,7585,8372,6173,5132,6221,7082,7109,20586,22612,21971,30187,31559,31671,26749,32279,32983
Chhatarpur,9604,13422,19487,24369,25119,17518,21563,23514,25960,19169,21465,15083,20447,18162,17073,22101,16150,12334,15933,16335,16001,25021,82674,84524,86346,103033,109408,117637,112990,118087,128320
Chhindwara,14128,16717,16117,29525,24562,16874,26995,30422,37596,25496,29856,22143,28656,25016,13670,26848,27192,13817,15863,27191,30412,31822,76710,84673,80518,117617,119397,121288,96179,109817,126150
Damoh,8958,11546,15803,21110,21793,13831,22328,16444,17013,10962,16261,9354,13497,12116,9684,18032,13147,9783,10599,12916,18719,28805,64981,66742,67648,82629,85461,89684,83259,87060,89646
Datia,7371,10359,11926,15245,15501,13984,13523,12669,12294,10649,11554,8592,9623,9328,8786,11984,8903,6432,7860,5985,7029,11592,29125,28819,30139,36782,39710,44947,41028,43140,43022
Dewas,22027,23294,23981,37419,39857,32777,39994,38175,37333,32016,27790,16949,29308,28436,19339,21523,24450,15288,17588,21352,18438,20245,68537,70828,68897,80235,83693,86639,87549,94573,103124
Dhar,25936,23730,29214,42828,46228,44372,49292,49004,45859,38030,37520,31011,39542,30449,14967,32663,35359,22230,33678,34061,27390,22348,75870,81306,78640,97475,103948,110472,104314,108532,124640
Dindori,382,382,541,849,752,710,1063,693,1026,600,1223,661,867,761,435,757,664,540,461,783,1364,2894,29127,35916,32424,58127,57903,56702,48386,54874,64025
East Nimar,8341,8407,11420,20822,21002,18152,27432,21616,23139,14331,16711,8113,16086,16889,9618,12528,11624,8261,10198,14811,13176,14408,56876,59071,62725,73560,75851,77377,70160,77499,82991
Guna,8875,12507,15691,25158,23416,14810,20436,23847,29271,25055,20227,13298,20464,15666,14703,18929,18372,12745,12961,13748,17013,19926,67206,70731,68777,79440,79364,86861,87897,88523,93392
Gwalior,18268,22518,24788,30020,30124,28265,27344,25725,26852,26046,28266,26051,27902,26725,25231,29759,25777,25007,24054,24912,29581,32721,60777,64601,65594,78783,80767,87476,83967,88252,92195
Harda,7167,9348,10251,13521,15111,11507,14013,14329,12016,9631,11088,8419,14118,13705,8027,14190,14359,4257,7919,13283,10345,12305,26562,24885,25492,38591,36867,43736,39225,38302,48518
Hoshangabad,15089,19255,20053,26344,28373,20036,27695,25621,27432,22068,24595,24424,29045,27010,19374,31359,28004,14853,20578,27109,31516,32401,60447,55013,57955,76011,70596,86630,78957,82655,116812
Indore,33084,34362,33736,44859,47852,45364,49182,50174,49506,46165,45248,40599,48341,47730,40623,52757,50432,48016,53391,58155,59875,54868,74301,80633,78554,86452,90817,99759,102132,105820,116774
Jabalpur,23256,24304,26057,30673,31237,24329,30541,32410,34148,33686,34044,30220,36034,32124,30345,36052,34374,27629,30086,34802,37249,42824,56877,58442,57741,68412,71038,78856,76942,80452,86181
Jhabua,3575,3951,5693,10309,11908,10924,13043,11400,8412,5995,7603,7153,6858,5215,2199,5492,4499,3491,3598,6118,4156,5034,33196,34614,33491,41423,47197,47758,45411,46803,50999
Katni,9330,9195,15981,19533,19273,15078,20993,19745,22600,17500,22657,15569,23024,19733,18083,27503,22287,19725,24422,29735,31971,39573,64847,65904,66059,77754,81145,85462,83109,89205,98702
Mandla,2422,2387,3241,5109,4469,4850,6012,5139,6354,5075,7255,4088,4794,5402,4691,8159,8883,7403,6061,8074,7976,9059,36997,44411,38930,62565,62744,63281,58542,61573,67581
Mandsaur,18639,25097,25525,37318,34015,28169,34885,37395,37548,32956,28826,22295,24146,25253,13073,24271,17815,12301,18719,22651,19429,17093,53226,54548,53470,63779,66933,69183,67869,71450,77530
Morena,10800,14300,17588,22391,20299,17435,18375,14499,14912,12896,14188,15051,13257,13482,11389,14855,12745,9098,9950,10525,12636,19538,52873,55985,56646,70090,71873,76182,75154,79266,80575
Narsimhapur,16182,20652,21264,27605,29187,18605,30381,32800,32869,28449,27649,22642,34062,28649,25077,37311,39404,21206,19252,24401,31597,38511,51137,54427,52849,64747,66412,74260,67813,70601,76482
Neemuch,12725,15199,15136,21450,21474,19129,20851,22699,23728,22703,18980,16281,19545,15951,10991,14755,13931,11556,14298,15076,18254,18997,40512,41318,40324,47671,49782,50322,48728,49633,54050
Panna,2230,2777,4028,7261,7011,4807,8262,7081,6776,4639,6325,4192,5575,4552,3333,5352,3231,2828,4022,3898,5698,10922,49691,51314,52541,68836,71942,75049,65679,72120,79727
Raisen,10803,14654,19789,26109,26465,14538,23434,22126,21142,12987,16281,13794,20089,18164,15028,22811,18641,12361,12991,20528,27916,27415,80127,86084,83861,97860,105376,113230,112928,125725,126229
Rajgarh,17853,18434,22673,35001,29614,22376,35681,38377,43096,35395,24552,13770,23058,17313,11775,11569,7232,6657,8897,9284,14305,17831,60723,62096,61286,70949,72911,80604,81290,84092,89117
Ratlam,18364,21185,21533,32174,33000,27184,32337,32042,31276,28518,24121,21869,22231,21455,12337,19715,22293,16089,13617,11298,14942,13990,50627,51903,50556,59839,63170,67725,69628,71636,79082
Rewa,10574,14099,19855,21783,24949,17818,22595,21333,23935,17896,16961,12871,15336,14734,12622,19972,14634,13402,22413,22895,27529,40538,70434,74095,74853,90547,96543,105790,103191,107445,112436
Sagar,19919,23747,29350,39716,40280,21708,36516,32424,32453,22180,29317,19151,29991,28279,22334,39000,33351,28375,31892,40122,43488,47191,108176,110463,110174,128995,135249,143673,135293,142845,151316
Satna,14324,17495,25469,29552,31853,24862,30140,30579,34808,25349,26464,22179,31237,27382,20421,30045,27911,19063,28481,31221,39282,50405,82802,86596,88384,106037,111431,117305,119557,125063,132954
Sehore,15706,19868,21727,30019,30846,18502,28891,26163,23049,16823,17750,10770,20994,22500,15388,23725,23517,16643,27751,26973,29050,27412,65261,67643,65038,80396,80965,87188,86494,88937,102564
Seoni,3691,3584,4698,10780,8164,5082,10148,8656,13064,6240,12476,3941,10712,8521,4455,10019,9544,7485,10168,14762,17940,19924,66999,71428,69374,86632,87899,90404,82388,87500,92754
Shahdol,7542,6152,7597,10135,9005,8725,10366,9754,11661,8795,10429,8914,10846,10207,9042,12441,11932,10851,10799,10798,12596,15877,61795,66930,60780,85743,86066,89659,83110,86824,94095
Shajapur,15271,16718,17106,24613,25321,19233,25936,26742,28746,24866,18990,9443,18415,19782,11437,17673,12162,7269,14616,14442,9453,9792,36434,37443,35750,40892,41650,44464,43775,45978,51051
Sheopur,2303,4575,6099,8168,7170,5202,5672,4911,4534,3392,3409,3608,5585,4907,2960,6319,6093,4266,4458,3873,4859,8698,38553,41502,38391,61785,56761,64398,57363,60355,63729
Shivpuri,7786,12398,17452,23378,20697,15581,15604,15515,15394,12492,12868,12002,11999,11334,11678,12435,9200,9070,9934,8738,12368,14549,87248,91297,87482,112493,115998,126197,118934,127003,129393
Sidhi,3399,2930,4945,6766,6999,4877,8342,6893,8181,5407,7231,5685,6336,6303,4170,7228,3534,3575,5451,4548,7064,13748,38960,42176,38742,52883,54214,57583,55647,59396,65325
Singrauli,11950,11033,12117,15630,14394,12696,14658,15522,16657,15849,16274,15820,14048,13822,12796,16200,15760,15768,23143,27226,32596,33691,68007,74074,67978,85670,87679,92153,91270,95502,100242
Tikamgarh,9837,15064,19198,24341,25140,16431,19888,21494,21673,19549,17939,13347,13220,14611,13204,18046,14067,9456,13081,9969,11427,23652,55241,57700,60931,68312,75333,81303,76905,80544,84728
Ujjain,32947,36233,35182,48165,51611,43824,50321,49799,47651,41937,38072,33531,43643,39010,20565,41780,39195,26326,19996,22683,25263,26775,68613,72037,73309,82415,85676,91230,94604,97193,106145
Umaria,1566,1535,2335,3427,2933,2408,3736,2985,3476,2497,2919,2198,2757,2500,2642,4824,4176,3310,3777,3905,4049,6230,27446,30201,27019,36593,36900,37914,33715,34684,38951
Vidisha,4327,6676,10612,15762,14828,7851,9248,10164,8862,6431,7412,7805,10743,12735,7744,11984,8205,4815,7242,10936,14009,12984,70510,76048,69977,80953,84060,92375,105484,110720,109223
West Nimar,13459,13685,17631,31309,33156,33286,38700,38657,39055,27729,27970,16583,26550,24067,13553,26084,20717,16545,14600,21676,14414,13646,66274,69463,67051,82417,86034,88799,85180,89902,98387
Ahmadnagar,90113,90772,81700,104912,114602,112000,128529,124058,137885,146206,134790,135689,141638,106271,94817,120561,122337,122477,116881,152316,170624,153097,170825,186866,188351,218341,229807,261885,264640,269423,308900
Akola,23446,28408,22963,33744,33557,31197,36784,38358,42183,41662,40154,38248,39213,34692,21789,32090,31946,32366,33029,40694,47238,42888,55851,58439,57507,66390,69351,73280,73819,79115,83484
Amravati,34837,46128,39718,55509,55764,49374,60925,61703,66964,68536,64282,61242,68381,56579,36040,53600,51983,49439,53872,67068,77687,73428,103392,110615,109009,133671,140289,149568,137996,153597,163919
Aurangabad,45860,54451,48119,63924,67275,59446,72224,73749,81192,80892,81302,79086,85536,64837,49961,71762,70882,68329,62533,82106,83046,66835,102815,110294,109220,121992,128244,139119,143162,151285,173683
Bhandara,13694,16249,14335,20233,20516,19385,23199,22018,26070,23529,25688,20139,27872,22897,18702,25415,22934,23027,20074,25150,30958,27436,41376,44330,41207,48358,50182,52264,51382,53495,58082
Bid,33543,43044,37812,53413,58459,54249,63598,61260,68549,75131,73592,80419,74473,59512,42757,71624,75022,68915,67755,84928,95450,74215,105059,112287,109099,124058,126505,143307,147747,153839,166824
Buldana,32754,43245,33326,47832,46174,42423,50842,53703,60559,55558,56060,53555,55286,48237,28219,49836,41355,44376,42822,58552,63353,53795,85698,87905,87065,100060,103826,108980,113609,119232,135291
Chandrapur,21591,24784,26215,36742,41392,41291,50188,46677,56657,47688,59396,36154,51767,46386,38117,54147,53127,52205,56326,65668,67692,65442,107931,111503,104030,122760,125544,131749,124958,132887,142472
Dhule,24927,25352,27756,35378,38170,32682,38794,37049,39736,41294,40043,35724,39958,33126,23996,32291,25261,31852,28397,33791,30277,29036,64894,68289,67195,76825,80098,81903,81146,83584,93841
Garhchiroli,4749,7646,7205,10885,11383,10701,13645,9582,21010,13459,19542,7569,14746,14395,11855,18379,14739,12998,11149,14592,16710,13235,103540,98189,78627,121615,126765,125293,83554,114782,129731
Gondiya,6857,8592,7885,12138,11884,11057,14866,12613,16582,12401,16479,9245,16876,15545,13243,19107,17014,15681,13686,18829,23385,19300,39662,42728,35424,46559,48185,48700,45631,48421,52960
Hingoli,13247,19393,16861,20933,21672,16738,21014,22353,26594,25131,25505,24250,23414,21160,13525,21595,23611,19675,21484,28059,30688,24962,41085,44209,42324,49086,51587,56057,57428,60894,64652
Jalgaon,54319,58598,54657,70957,76915,72063,82984,84008,89146,89109,90157,82110,91809,75412,60170,79018,70385,81256,67720,85613,84006,63982,110415,113939,113252,131330,135394,145783,145957,149290,164832
Jalna,22190,31689,21747,35423,36353,29417,41007,36286,46074,47468,48005,48373,43648,35295,21090,44697,40242,40607,39805,54240,55405,44778,70340,73977,72622,81665,85106,91366,90786,96887,113707
Kolhapur,36342,40665,38406,48843,51391,48094,58929,62246,67560,73290,72483,67177,61959,57986,54598,64451,68741,81932,69719,76602,80617,86507,64271,70069,69413,82703,86651,91584,87435,90375,101450
Latur,20590,31585,34475,40227,42662,40693,45807,47113,50794,52496,50215,53441,52028,44504,30809,53097,53157,50718,43070,50159,60391,54471,63071,68243,67757,77640,79594,85364,86835,94713,105347
Mumbai City,5187,5308,5223,5283,5351,5287,5210,5204,5118,5193,5302,5193,5059,5065,5128,5175,5094,4874,4841,5156,5330,5375,5336,5332,5344,5344,5363,5414,5205,5403,5427
Mumbai Suburban,25975,26110,25712,27789,27665,27341,27967,28146,28275,28363,28778,28356,27328,28232,28363,28861,28333,27685,27947,29413,30248,30116,29253,29420,29480,29491,29813,30376,29092,30251,30634
Nagpur,45643,51242,48049,62167,66413,60320,73549,74499,81566,78522,83504,76001,84663,76323,65423,83849,81464,81446,84778,98847,106664,102497,130547,140559,134099,152730,156935,167224,164209,173130,190481
Nanded,30967,43597,36900,47078,50493,40242,54944,54001,57857,55999,59585,55740,54514,50732,34756,57474,65008,49794,52008,65711,78582,61263,96622,101079,98941,112551,116643,126495,130594,142458,150298
Nandurbar,15595,16607,17850,20220,23517,20714,24345,25496,26048,24914,24693,23719,26719,20751,16513,24638,21405,23923,22311,29304,26745,23001,48838,52451,51320,62578,68895,69943,66150,68859,74335
Nashik,77463,90923,88198,107550,117665,133570,128336,132232,137239,137339,132484,126859,138655,106511,98330,117337,103820,107596,107309,128805,138114,127585,170838,180668,178012,205059,218725,235235,245576,253535,281800
Osmanabad,22530,27440,29501,36978,40289,40800,44473,44575,46497,49686,48414,46894,43721,39401,30576,46676,49076,42831,41416,51912,59971,48958,63927,68577,65606,72716,75420,83175,84693,91449,102219
Palghar,18997,25936,24803,32041,31544,32706,42802,41784,47177,44768,45715,42649,46156,43928,36622,45536,41410,46365,47023,53303,60546,59403,72744,77046,74420,84143,88009,92964,89313,94001,100995
Parbhani,16599,25652,22774,31171,32447,29807,34046,35156,40396,40293,40513,44886,39692,31145,22030,38093,36444,37979,35585,43750,47875,45774,60273,64224,62269,71209,72830,81819,82264,86682,91709
Pune,107946,114477,113862,142679,149591,150816,170610,182776,197396,201555,198799,194306,205960,175444,171336,199895,202084,222247,218592,243953,267199,266524,247937,265730,268583,297240,308998,358766,363591,375158,420913
Raigarh,42691,53056,48641,61973,61301,60149,71542,72829,76737,75863,76478,72684,79434,66355,52337,68578,68600,79536,76225,84034,93851,94052,100415,104704,99485,112012,121320,130009,125221,133835,146616
Ratnagiri,8960,14860,14458,21863,19838,21076,37799,33654,38355,40616,36535,29993,37827,37272,25243,34918,35637,33457,34183,36563,47437,45475,43413,49366,42990,68848,74182,70443,54425,56588,68545
Sangli,39480,42687,40402,49873,55000,53118,66353,69650,73965,75536,75039,70127,65286,57946,53588,59078,59602,61659,59195,74829,86042,85393,76830,86110,82225,93720,97796,106356,109970,112995,124397
Satara,46467,51416,47600,62045,66224,60393,74893,79989,83517,86857,86434,78536,74671,65909,54971,70031,69877,76827,74882,92056,101574,97492,90880,97451,94278,111413,116653,124809,124879,131559,144767
Sindhudurg,4517,8636,8618,10074,10715,10885,20797,18212,22483,22820,21176,21823,22151,22511,15461,21046,18037,18562,17684,21410,23004,24956,22662,24870,24317,39469,43445,42912,35789,38205,42264
Solapur,63199,68659,69333,86345,98661,108332,111224,110443,120191,136642,126435,121960,120933,102334,93407,114351,123020,125920,123987,149388,172489,161184,168343,197989,191311,211702,215565,248793,252479,249111,276229
Thane,42712,46882,45814,54990,55599,56857,65737,66538,70539,71310,71591,66604,68356,65547,57727,64789,65284,72773,72852,82086,88885,86533,93499,95955,94730,100669,104859,109804,107865,115945,123237
Wardha,16187,20568,16938,26004,27118,25667,32402,28720,35142,33667,36553,29581,36032,28214,21165,34007,33506,25721,27501,39012,43707,41049,62063,65390,60873,70774,71632,82485,83704,87877,93200
Washim,10594,19110,15575,21477,19575,16999,24987,26939,29946,27864,28878,24495,24006,21094,10832,23316,23576,20660,21376,31412,35534,28032,46410,48622,47631,55823,55493,58802,55815,60640,66963
Yavatmal,20861,30054,22212,38673,43150,45682,57908,54426,67609,64642,67191,58843,70662,58064,38780,64778,70404,54549,61775,76352,98187,85007,126591,130776,128442,147823,145380,159572,156002,167243,177299
Bishnupur,1189,1687,1060,1299,1361,1498,1560,1207,1807,1589,2165,1669,2077,1731,1329,1429,1518,1605,1510,1895,1453,1801,4455,4600,4476,5041,5071,5353,5518,6173,7053
Chandel,27,74,186,278,307,254,278,346,394,481,522,242,523,416,327,493,438,211,518,467,675,639,20951,10246,13559,17891,22080,22883,16899,17761,17118
Churachandpur,646,908,669,925,780,1097,659,839,854,1151,1241,920,1357,847,878,1046,668,1316,1407,1285,1548,1713,16466,20643,10324,17822,22525,22386,19224,20217,19261
Imphal East,2169,3408,2414,2989,2928,3112,3654,3932,3360,3052,3234,2892,3695,3159,2872,3320,3315,3044,2778,3749,3774,4887,7203,7280,7668,8867,8975,9832,9994,10892,11834
Imphal West,4000,4110,3779,4363,4329,4804,4212,5592,5524,5218,5283,4835,4828,4351,4481,4288,4085,4636,4507,4211,4779,5501,6983,7289,8286,9895,10252,11521,11696,12459,13460
Senapati,722,1112,699,644,523,960,1115,4195,1716,1449,1978,1439,1278,1704,1892,2357,2088,1571,1837,2242,1790,2310,17314,18399,19745,29800,31349,31990,27634,29523,30309
Tamenglong,53,74,140,170,133,173,129,399,165,220,226,106,144,129,269,337,173,177,315,954,980,2203,20166,25296,12004,24794,27358,28019,20125,19677,20070
Thoubal,928,1593,1379,1933,2066,2059,2220,2214,2526,2041,2475,1711,2618,2021,1771,2094,1951,1721,2026,2701,2488,2899,5874,4820,7577,9295,9360,9989,9772,10660,11669
Ukhrul,270,277,200,249,274,366,158,1172,303,227,223,190,249,330,140,333,453,165,169,231,310,358,21762,16995,13040,26178,32320,33006,27276,26247,25169
East Garo Hills,346,780,1243,1235,540,902,1011,1866,1523,1251,1180,678,1539,1786,1401,2109,1527,1983,2350,995,1563,1819,16663,17839,15608,20733,21975,22176,16773,21316,22091
East Khasi Hills,3476,4853,5098,7051,5992,6055,6660,9130,7659,6798,7903,6260,9479,8886,9805,10749,10642,10519,11198,9998,11515,12261,29252,32469,28896,33048,34073,33114,28590,30477,32079
Jaintia Hills,735,1204,1117,1399,1440,1735,1922,2793,2209,2049,2646,1924,3674,3658,3810,5855,5238,6724,8477,7058,9402,7858,28962,33015,26793,33115,34267,34869,27351,31994,33407
North Garo Hills,365,785,958,1084,533,684,743,1353,977,925,782,345,1068,1043,932,1152,951,1190,1498,729,606,704,5510,5932,6036,6910,7366,7614,6066,7356,7536
Ri Bhoi,1155,1993,2388,3831,2565,2186,2846,5037,3268,2847,3285,2481,4435,4240,4841,5161,5069,5606,7340,6113,6843,6908,23437,24758,18538,24880,25567,25316,24911,23689,26644
South Garo Hills,232,481,516,636,448,495,639,940,794,667,839,450,842,707,550,715,748,883,1031,610,988,1138,9210,12188,7596,13862,15645,14824,9256,14479,15634
South West Garo Hills,280,580,502,771,193,479,483,482,388,217,311,46,167,264,168,838,760,261,475,237,159,36,4569,4950,5052,6181,7049,6407,5924,6808,7123
South West Khasi Hills,72,183,224,265,218,235,199,442,223,173,177,94,344,309,199,348,263,399,310,272,278,424,9275,10596,8027,10877,12005,11618,10261,9233,9736
West Garo Hills,1267,2254,2008,3150,1972,2265,2631,2972,2466,2358,2503,1562,2671,2864,2104,3322,3175,2632,2992,2125,2103,1908,20306,24019,20396,29277,30990,29794,19561,28202,30923
West Khasi Hills,336,560,810,1164,682,541,542,1657,877,754,588,434,1342,1142,964,1152,1038,1221,2061,1054,2690,2611,26543,29024,19947,30049,32849,29818,24875,23705,27888
Aizawl,1370,2200,2447,2298,2600,2599,3183,4510,3528,4006,3933,3734,4527,3663,3954,4724,4113,4379,4317,3823,3999,4168,20336,20698,13848,23862,24093,24212,17973,20047,19893
Champhai,204,247,261,190,250,245,333,671,421,414,423,388,673,345,323,423,406,353,467,354,471,461,12234,15411,7789,15911,20315,17141,9572,15943,13787
Kolasib,111,395,391,502,530,325,499,804,663,886,970,969,1157,977,855,1539,1148,934,1028,1168,1191,1040,8393,9335,6676,9614,9678,9842,6571,8669,8586
Lawangtlai,105,181,297,307,265,206,286,360,241,197,227,126,287,195,139,347,159,136,149,203,142,227,14880,16152,7861,10307,13127,8781,9816,14339,7474
Lunglei,346,649,682,630,728,638,860,833,727,772,755,412,826,551,425,1152,556,523,605,683,658,626,22376,21949,8654,22018,22766,20975,10993,14719,13156
Mamit,8,85,128,45,199,262,274,401,342,395,516,190,382,291,167,617,382,391,380,299,229,219,15099,15030,9047,16301,17945,17758,10672,14000,14522
Saiha,86,181,217,217,150,166,285,321,199,170,155,139,263,249,269,361,197,291,174,129,162,142,10663,10852,6602,11032,14457,11947,8573,12407,10613
Serchhip,55,152,275,186,339,341,407,431,326,355,359,125,511,377,338,752,680,960,675,563,566,332,6411,6882,4364,8265,8369,7034,4289,5501,6897
Dimapur,2035,2556,2141,2130,3156,3010,3156,4056,3552,3744,4788,3288,5563,5001,4833,6126,5890,6950,8207,8159,6683,6535,13408,13521,12759,13621,12820,14889,14924,15208,15505
Kiphire,0,0,0,0,19,0,56,17,56,20,142,93,56,80,61,176,167,119,304,225,95,144,6652,7946,5355,9141,9202,9380,8038,7821,8542
Kohima,777,960,777,1009,1303,1455,1178,1684,1459,1293,1849,1556,2262,2172,1938,2596,2456,2555,2983,2626,2559,2496,11789,10962,9619,12345,12177,13105,11688,11951,12161
Longleng,167,424,373,129,96,77,108,27,76,85,62,55,185,132,79,222,63,27,151,164,125,97,4648,4322,3887,5154,5008,5319,4867,5287,5228
Mokokchung,590,978,868,865,957,558,472,706,783,846,1081,688,1396,1359,919,1592,1618,1317,1720,1635,1004,1158,13927,14471,13283,14817,14558,15012,14490,14686,14962
Mon,240,930,809,331,325,242,172,180,275,401,249,212,370,305,194,612,345,307,522,617,314,330,10314,11297,6887,16830,17208,17589,13082,14298,15017
Peren,156,197,173,113,252,208,353,593,450,696,487,130,361,283,239,635,395,539,913,1036,697,491,9040,11461,6116,10378,10936,10673,6846,6978,7207
Phek,13,27,35,92,267,164,60,232,280,85,205,167,170,142,22,268,269,196,320,388,274,236,13323,13322,11851,15113,16129,15655,14574,13218,15083
Tuensang,40,33,22,112,184,0,136,16,134,134,249,210,190,227,158,262,291,374,404,330,259,234,10263,13127,7165,15571,16555,17521,12582,15360,14213
Wokha,177,391,237,426,567,727,778,819,958,857,1115,748,942,693,457,945,529,564,619,1068,833,833,12847,12306,9215,15117,15527,15739,14467,14551,15778
Zunheboto,62,42,54,116,241,140,82,105,176,99,219,109,168,267,146,367,359,440,590,510,210,459,11873,12851,11386,14339,14326,15032,14395,14205,14151
West,88326,86073,86991,93128,95029,95142,95055,98482,100857,103764,103441,102716,101508,103503,105858,105901,103442,104872,105997,111788,116829,116509,116119,116800,115860,116372,116277,118252,117993,118046,118646
Anugul,11595,14014,15602,18509,20326,18889,21380,20060,24639,24013,23454,22854,28774,25496,22349,27985,26282,32175,33148,37764,45403,45946,84736,88385,79969,90340,92767,87454,83198,90348,88894
Balangir,4359,4294,3856,6753,7496,6059,6991,6195,8173,6550,8051,6331,7503,7092,5838,10402,6544,7441,8423,11110,14801,14142,60288,63758,58823,70328,72920,71888,70909,79026,82214
Baleshwar,4385,5315,7741,9071,12605,10934,15577,14276,19477,11144,19381,15852,23789,20365,17690,21417,18354,17978,17425,22161,23288,22974,42166,43825,41048,47469,49280,52050,52881,56435,61212
Bargarh,4357,4734,5003,10045,9633,7704,9751,6798,11072,8439,10896,6196,10155,9860,8628,13754,10717,10796,11031,13721,15843,15479,52701,58122,53924,62718,65972,63598,61627,68854,69974
Bauda,187,168,370,487,449,460,630,521,759,334,1320,588,1039,494,373,687,560,828,501,847,1132,784,24449,25532,20379,28535,29764,24408,19896,29458,29675
Bhadrak,1677,1955,2916,3395,3855,5361,7448,5705,9208,4147,7870,5016,9301,8291,5689,7899,8341,9460,8349,9622,10965,11866,25492,26747,24773,28416,29458,31782,32319,35010,38100
Cuttack,13436,13289,16727,22036,22964,21794,25189,20554,31292,26611,26718,25260,35017,32806,27430,33547,30722,35282,33264,37599,41780,44320,59534,63205,60639,66549,68448,72069,74709,77607,79938
Debagarh,289,353,397,560,471,382,910,574,794,1038,1457,1334,2511,1467,1164,2233,1601,2314,1645,1802,2476,2483,22984,23557,15643,26116,25974,23195,17981,25089,26556
Dhenkanal,5677,5836,6717,8140,9230,8264,11088,7904,13693,8565,10821,9157,16515,14328,11280,16090,14465,20638,15971,21019,24658,27076,51381,55554,50656,57805,59575,59267,58942,62318,65600
Gajapati,1157,1138,1640,1999,2110,1606,2029,1549,2527,2541,2803,1952,3133,2094,2398,2482,2609,3118,2430,2382,4237,3214,18584,28395,22905,34762,35724,34322,27720,32699,31690
Ganjam,12204,13385,13921,20155,22468,17844,22863,17354,27009,21157,21577,16305,26487,22389,20724,26594,25097,26601,23561,28582,32391,29208,73436,82922,72764,90937,94455,93552,90807,102145,102977
