Dist Name,2007 (2004),2008 (2004),2009 (2004),2010 (2004),2011 (2004),2012 (2004),2013 (2004)
Tonk,28146,30322,34760,49942,53432,56216,59490
Tumkur,60162,60398,63888,71427,69544,68836,70049
Udaipur,76902,82644,89973,112528,121203,126638,131590
Ujjain,47832,53347,59324,60064,64665,71931,81621
Unnao,37356,40831,41323,48846,52620,55693,58360
Uttar Kashi,9741,10872,12971,14100,15050,16047,17228
Uttara Kannada,45726,46734,47644,54311,54789,54816,56391
Vadodara / Baroda,271486,290563,327018,347462,370064,400114,438172
Valsad,81844,86736,96689,103551,106351,114100,124390
Varanasi,88581,95755,104484,112194,119156,127115,135391
Vidisha,20055,22099,24225,25220,27556,29934,32575
Visakhapatnam,179535,197671,203472,226202,237177,245910,258680
Warangal,114919,123177,124342,141240,151572,161040,170999
Wardha,39451,37293,39587,41426,41436,43481,46335
West Dinajpur,39275,39440,39817,40553,42393,44446,47321
West Godavari,133204,139704,151986,169650,178725,185296,192191
Yeotmal,59393,55665,61852,66321,68097,70602,75601
