District,Predicted_GDDP_2020
Rewa,1134220.4737091956
Sagar,1557766.5117520865
Satna,1163143.0697613803
Sehore,1655169.9810385054
Seoni,949791.0667597285
Shahdol,964563.4277942401
Shajapur,570144.884641539
Sheopur,656607.9160456014
Shivpuri,1160791.6611900416
Sidhi,728853.7512908586
Singrauli,1036131.3515051883
Tikamgarh,949359.1268207083
Ujjain,1039235.2318414823
Umaria,527321.4070985954
Vidisha,1127168.884242995
West Nimar,1064992.47359823
Ahmadnagar,5728802.993883646
Akola,901075.0059215938
Amravati,1416274.3343722634
Aurangabad,1375603.9022536662
Bhandara,636467.5307204834
Bid,1686992.4272802074
Buldana,1197547.5061899123
Chandrapur,1184712.2105372113
Dhule,1080530.6687193385
Garhchiroli,983299.8627063041
Gondiya,585575.9975866693
Hingoli,746492.086910238
Jalgaon,1379285.2880761188
Jalna,991208.6825969437
Kolhapur,1063223.8709691435
Latur,1069854.7683510808
Mumbai City,191926.56959373574
Mumbai Suburban,449110.9968043217
Nagpur,1835175.675401366
Nanded,1290182.9326019194
Nandurbar,778526.7234757942
Nashik,5109218.546813718
Osmanabad,1163075.7743487167
Palghar,944559.5484381529
Parbhani,1024853.0135209141
Pune,5889606.6785968095
Raigarh,1187399.7906056822
Ratnagiri,688696.6341970466
Sangli,1146368.6556765968
Satara,1184414.038342772
Sindhudurg,514692.05575440143
Solapur,5135272.757677205
Thane,1137476.0361231826
Wardha,990972.848482558
Washim,669505.8048854698
Yavatmal,1521787.9766080566
Bishnupur,196601.73039773433
Chandel,303931.30880693
Churachandpur,356327.5497070442
Imphal East,243418.7518524706
Imphal West,239200.12701813978
Senapati,413855.5151099405
Tamenglong,370325.3541778298
Thoubal,244317.57418424494
Ukhrul,411711.9047591895
East Garo Hills,299672.02723945846
East Khasi Hills,416548.05607885943
Jaintia Hills,411994.9796273282
North Garo Hills,209022.64407829996
Ri Bhoi,387298.33050888666
South Garo Hills,231089.119096845
South West Garo Hills,206099.14915402234
South West Khasi Hills,239336.999055675
West Garo Hills,351890.9090982727
West Khasi Hills,387162.45457218
Aizawl,313469.6585677839
Champhai,234419.11694189534
Kolasib,199701.37060476988
Lawangtlai,244832.3758536386
Lunglei,245689.65104604393
Mamit,244728.6727419564
Saiha,230369.99758165667
Serchhip,148523.45958968787
Dimapur,342574.67070898757
Kiphire,224104.7037009067
Kohima,240463.71242965024
Longleng,161222.9103089548
Mokokchung,445035.1462512403
Mon,313966.1639409389
Peren,2588830.154580613
Phek,389415.0666280479
Tuensang,241293.75532718236
Wokha,449659.19451845833
Zunheboto,385399.0430502238
West,1152199.8552881638
Anugul,949389.1858876928
Balangir,1009821.1417797337
Baleshwar,636601.2792656111
Bargarh,835015.6879024009
Bauda,372804.3271941101
Bhadrak,455424.55821117666
Cuttack,874662.9271795336
Debagarh,310875.1626648298
Dhenkanal,767133.517673229
Gajapati,412736.22516482207
Ganjam,991287.9435600225
Jagatsinghapur,463374.7014983343
Jajapur,872722.4672184376
Jharsuguda,572230.1804990278
Kalahandi,662073.692357094
Kandhamal,514669.40976495034
Kendrapara,435460.8729001885
Kendujhar,1028501.4319077008
Khordha,746405.3271008134
Koraput,1009764.5268061059
Malkangiri,542780.3655045611
Mayurbhanj,946173.999153904
Nabarangapur,571193.9932603948
Nayagarh,410350.2597195157
Nuapada,440768.7817472488
Puri,581438.6139975794
Rayagada,582008.5282899392
Sambalpur,938241.3158149741
Subarnapur,378204.43598721275
Sundargarh,1146681.9251973368
Karaikal,205241.47009119755
Mahe,105138.48295741757
Puducherry,231160.27011891291
Yanam,87504.39544055324
Amritsar,949042.4856437022
Barnala,410253.804577833
Bathinda,955618.0584921093
Faridkot,416092.8817889087
Fatehgarh Sahib,408881.29323125764
Fazilka,583439.0712603902
Firozpur,678801.6767921621
Gurdaspur,577813.7953569688
Hoshiarpur,633522.609240611
Jalandhar,976683.086949525
Kapurthala,558299.8834649929
Ludhiana,1087766.2252575348
Mansa,531217.7927151491
Moga,702465.9051755354
Muktsar,584378.0131695009
Pathankot,377298.5404450749
Patiala,1175663.8043101684
Rupnagar,451395.70479091635
Sahibzada Ajit Singh Nagar,671408.1041604098
Sangrur,892326.6244967064
Shahid Bhagat Singh Nagar,386388.2063784399
Tarn Taran,858856.8068082548
Ajmer,1290194.255596645
Alwar,1524557.8772578083
Banswara,749014.3911359097
Baran,1050853.7743847284
Barmer,3274074.412404372
Bharatpur,945605.0568311699
Bhilwara,1361643.7924231703
Bikaner,3269801.869061265
Bundi,939405.9549139511
Chittaurgarh,1150119.6092421645
Churu,2283968.1190258297
Dausa,904847.9685151445
Dhaulpur,502446.1461091766
Dungarpur,577677.9194202622
Ganganagar,1285828.6706835695
Hanumangarh,996315.0204330304
Jaipur,5131943.797227894
Jaisalmer,1384501.2653963354
Jalor,1076868.0515111552
Jhalawar,1029362.7683929744
Jhunjhunun,1037566.3061571101
Jodhpur,5569067.795242836
Karauli,943595.3432927135
Kota,1063519.656718456
Nagaur,2981827.201178541
Pali,1482044.3260845102
Pratapgarh,571141.1526183422
Rajsamand,827520.1502255872
Sawai Madhopur,734336.1114586537
Sikar,1163812.576862592
Sirohi,846836.3475276754
Tonk,961655.106323028
Udaipur,1522284.7394297954
East Sikkim,241911.9861827471
North Sikkim,162827.49844554908
South Sikkim,208988.67509412332
West Sikkim,202360.14228404188
Ariyalur,441104.0655357079
Chennai,339382.7290162472
Coimbatore,886922.3809449486
Cuddalore,930104.0284179213
Dharmapuri,622843.505066506
Dindigul,907933.8768114853
Erode,979956.3663363345
Kancheepuram,1434989.719270289
Kanniyakumari,413028.24915639334
Karur,558659.7238781712
Krishnagiri,955572.7665132071
Madurai,1879396.5643331353
Nagappattinam,512383.9969345141
Namakkal,898798.9886915152
Perambalur,370069.6633745286
Pudukkottai,735705.5776723213
Ramanathapuram,535538.1761334118
Salem,1050851.2839048635
Sivaganga,574422.1745630351
Thanjavur,701094.4904219512
The Nilgiris,371175.6542384112
Theni,411043.8690523529
Thiruvallur,1041733.5680126542
Thiruvarur,559742.4845414836
Thoothukkudi,846586.6478186817
Tiruchirappalli,943629.3122768902
Tirunelveli,945552.2161891173
Tiruppur,1159268.0509397013
Tiruvannamalai,966509.2882237486
Vellore,1139385.0929117433
Viluppuram,1134269.5400196728
Virudunagar,668225.0625717303
Adilabad,2253489.156670991
Hyderabad,365517.1500530406
Karimnagar,2554769.7299557063
Khammam,1965815.6579970531
Mahbubnagar,5112853.228120619
Medak,2586712.805974828
Nalgonda,3596289.4123614267
Nizamabad,1148797.9678684138
Ranga Reddy,3405126.1953908517
Warangal,1581756.0064855767
Dhalai,354583.8593572389
Gomati,309114.75742271583
Khowai,392932.94402901054
North Tripura,504469.80584270397
Sipahijala,308069.4654262321
South Tripura,354926.3177940729
Unokoti,233296.2821439244
West Tripura,394919.19883991056
Agra,1084347.448211983
Aligarh,993411.1574669665
Allahabad,1287040.2311192034
Ambedkar Nagar,581880.6776019436
Amethi,845258.8580928207
Amroha,597226.7255511447
Auraiya,570822.8859318037
Azamgarh,1079085.514635063
Baghpat,510796.33057286293
Bahraich,616872.4273641448
Ballia,907907.456490459
Balrampur,568158.7582804736
Banda,623210.0242304776
Barabanki,944428.1044825321
Bareilly,1081488.169449753
Basti,571833.0606393543
Bijnor,988035.2840130428
Budaun,810073.534307242
Bulandshahr,1010465.6592088366
Chandauli,620595.5237887239
Chitrakoot,531450.6456458931
Deoria,700431.5645068702
Etah,574941.4504306804
Etawah,633103.4406733491
Faizabad,558362.9045424688
Farrukhabad,548462.0232519913
Fatehpur,903227.8117244029
Firozabad,900794.8853664934
Gautam Buddha Nagar,945888.9811815455
Ghaziabad,578111.614361741
Ghazipur,917974.9471855423
Gonda,900523.7378145689
Gorakhpur,1052751.2855269595
Hamirpur,629127.5294965692
Hapur,505381.4095586571
Hardoi,1162402.7478008338
Hathras,534418.8382204188
Jalaun,755123.0628153532
Jaunpur,1809063.009703695
Jhansi,1129691.0259635786
Kannauj,505000.59865331766
Kanpur Dehat,636018.0338110504
Kanpur Nagar,912457.0402251785
