District,1992_GDDP_Predicted,1993_GDDP_Predicted,1994_GDDP_Predicted,1995_GDDP_Predicted,1996_GDDP_Predicted,1997_GDDP_Predicted,1998_GDDP_Predicted,1999_GDDP_Predicted,2000_GDDP_Predicted,2001_GDDP_Predicted,2002_GDDP_Predicted,2003_GDDP_Predicted,2004_GDDP_Predicted,2005_GDDP_Predicted,2006_GDDP_Predicted,2007_GDDP_Predicted,2008_GDDP_Predicted,2009_GDDP_Predicted,2010_GDDP_Predicted,2011_GDDP_Predicted,2012_GDDP_Predicted,2013_GDDP_Predicted,2014_GDDP_Predicted,2015_GDDP_Predicted,2016_GDDP_Predicted,2017_GDDP_Predicted,2018_GDDP_Predicted,2019_GDDP_Predicted,2020_GDDP_Predicted,2021_GDDP_Predicted,2022_GDDP_Predicted
Jamui,39303.80468026484,64778.348599312056,61500.507499168925,68821.03195806642,68821.03195806642,64778.348599312056,68821.03195806642,71523.38804808594,84207.14707555683,84207.14707555683,84207.14707555683,71523.38804808594,71523.38804808594,71523.38804808594,64778.348599312056,68821.03195806642,71523.38804808594,68821.03195806642,71523.38804808594,68821.03195806642,71523.38804808594,71523.38804808594,368006.2478726287,403463.41739346687,376554.85293565236,557032.2955830402,542126.2007856356,567609.2008423703,595188.5401727818,595188.5401727818,623394.1083949166
Bahraich,84207.14707555683,84207.14707555683,91372.68775484338,145906.93815578273,91372.68775484338,84207.14707555683,71523.38804808594,84207.14707555683,131261.79494679812,145906.93815578273,131261.79494679812,68821.03195806642,84207.14707555683,84207.14707555683,84207.14707555683,145906.93815578273,158142.77977658552,145906.93815578273,158142.77977658552,158142.77977658552,71523.38804808594,84207.14707555683,427036.1972800199,557032.2955830402,557032.2955830402,575847.0456870422,565378.0035950973,595188.5401727818,752799.655110249,565378.0035950973,595188.5401727818
Kendujhar,166178.91669325964,219108.66102344904,439986.4724469204,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,374574.98399223364,241654.61288758856,241654.61288758856,241654.61288758856,367193.56684797263,323933.4020422347,403741.98297757463,376760.9866539024,339492.6966680354,376554.85293565236,403463.41739346687,403463.41739346687,453917.34768034617,405773.7453101894,1008720.4888534133,1284291.239407956,789467.8785424769,936898.6795999514,936898.6795999514,962485.9919130796,973445.6824819329,1088230.7558037648,1019377.464924277
Serchhip,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,40643.74304635062,40643.74304635062,61500.507499168925,61500.507499168925,40643.74304635062,40643.74304635062,40643.74304635062,39303.80468026484,64778.348599312056,52236.60043527672,40643.74304635062,64778.348599312056,64778.348599312056,68821.03195806642,64778.348599312056,64778.348599312056,64778.348599312056,40643.74304635062,219108.66102344904,304204.9027872174,158142.77977658552,241654.61288758856,241654.61288758856,304204.9027872174,158142.77977658552,219108.66102344904,304204.9027872174
Sheohar,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,40643.74304635062,39303.80468026484,40643.74304635062,39303.80468026484,39303.80468026484,40643.74304635062,40643.74304635062,39303.80468026484,39303.80468026484,40643.74304635062,39303.80468026484,39303.80468026484,40643.74304635062,39303.80468026484,64778.348599312056,40643.74304635062,39303.80468026484,71523.38804808594,219108.66102344904,219108.66102344904,219108.66102344904,241654.61288758856,241654.61288758856,241654.61288758856,329191.9243035931,323933.4020422347,374574.98399223364
Kodagu,84207.14707555683,105783.49409003084,166178.91669325964,219108.66102344904,166178.91669325964,158142.77977658552,241654.61288758856,241654.61288758856,241654.61288758856,304204.9027872174,304204.9027872174,219108.66102344904,393547.2981825064,304204.9027872174,219108.66102344904,219108.66102344904,166178.91669325964,166178.91669325964,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,323933.4020422347,376760.9866539024,329191.9243035931,403463.41739346687,405773.7453101894,403463.41739346687,376760.9866539024,376760.9866539024,403463.41739346687
Bijnor,339492.6966680354,349081.87015022634,376760.9866539024,368006.2478726287,368006.2478726287,339492.6966680354,368006.2478726287,374574.98399223364,339492.6966680354,403463.41739346687,323933.4020422347,241654.61288758856,339492.6966680354,323933.4020422347,374574.98399223364,420187.16814314673,368006.2478726287,367193.56684797263,420187.16814314673,421545.30516660295,394905.39061809675,349081.87015022634,623394.1083949166,637020.4449788313,882798.850977985,894665.2166731625,789467.8785424769,943884.6986487402,1087048.4695899698,1571184.5537297009,936918.286899739
Betul,241654.61288758856,241654.61288758856,403741.98297757463,349081.87015022634,339492.6966680354,241654.61288758856,376760.9866539024,323933.4020422347,349081.87015022634,323933.4020422347,323933.4020422347,241654.61288758856,329191.9243035931,374574.98399223364,241654.61288758856,323933.4020422347,339492.6966680354,241654.61288758856,241654.61288758856,374574.98399223364,374574.98399223364,349081.87015022634,855402.06538646,910492.7646623688,1087048.4695899698,962485.9919130796,987670.8934172259,936898.6795999514,936918.286899739,962485.9919130796,884806.65505422
Supaul,64778.348599312056,71523.38804808594,84207.14707555683,71523.38804808594,105783.49409003084,84207.14707555683,105783.49409003084,84207.14707555683,91372.68775484338,105783.49409003084,158142.77977658552,84207.14707555683,105783.49409003084,91372.68775484338,145906.93815578273,219108.66102344904,219108.66102344904,219108.66102344904,219108.66102344904,219108.66102344904,166178.91669325964,241654.61288758856,368006.2478726287,403463.41739346687,453917.34768034617,557032.2955830402,557032.2955830402,560028.3941262603,575847.0456870422,565378.0035950973,565378.0035950973
Ajmer,368006.2478726287,403463.41739346687,493444.78031018935,557032.2955830402,539084.2905274781,557032.2955830402,575847.0456870422,538872.4551102489,641508.2045567842,624388.2158370167,637020.4449788313,623394.1083949166,802806.9279257131,641508.2045567842,623394.1083949166,855402.06538646,646909.3118045429,824831.5270238817,824831.5270238817,824831.5270238817,805726.7962868309,805726.7962868309,1019377.464924277,998101.9872675121,1076723.1145272707,1148924.3753200665,1569626.6531848712,1265920.8546345101,1148924.3753200665,1265920.8546345101,1362283.8434763127
Kolasib,39303.80468026484,52236.60043527672,52236.60043527672,64778.348599312056,64778.348599312056,40643.74304635062,64778.348599312056,64778.348599312056,64778.348599312056,68821.03195806642,68821.03195806642,68821.03195806642,71523.38804808594,68821.03195806642,68821.03195806642,84207.14707555683,71523.38804808594,68821.03195806642,68821.03195806642,71523.38804808594,71523.38804808594,68821.03195806642,241654.61288758856,241654.61288758856,213401.86512803702,241654.61288758856,241654.61288758856,241654.61288758856,213401.86512803702,241654.61288758856,241654.61288758856
Bhandara,403741.98297757463,323933.4020422347,374574.98399223364,376760.9866539024,376760.9866539024,349081.87015022634,368006.2478726287,368006.2478726287,403463.41739346687,368006.2478726287,403463.41739346687,376760.9866539024,403463.41739346687,368006.2478726287,349081.87015022634,403463.41739346687,368006.2478726287,368006.2478726287,376760.9866539024,420187.16814314673,453917.34768034617,403463.41739346687,560028.3941262603,575847.0456870422,560028.3941262603,595188.5401727818,623394.1083949166,623394.1083949166,623394.1083949166,641508.2045567842,802806.9279257131
Bhagalpur,166178.91669325964,439986.4724469204,219108.66102344904,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,374574.98399223364,241654.61288758856,403741.98297757463,374574.98399223364,323933.4020422347,557032.2955830402,539084.2905274781,539084.2905274781,567609.2008423703,565378.0035950973,641508.2045567842,862231.2769874998,855402.06538646,938583.3652837642
Krishna,575847.0456870422,623394.1083949166,623394.1083949166,882798.850977985,882798.850977985,855402.06538646,881205.6101966847,906813.949993926,862249.2673075555,943884.6986487402,1019223.4754075856,1019223.4754075856,962485.9919130796,1008720.4888534133,959090.0326358714,962485.9919130796,973445.6824819329,1019377.464924277,1174399.8583657343,1088230.7558037648,1019377.464924277,1076723.1145272707,987670.8934172259,936898.6795999514,987670.8934172259,1019377.464924277,821898.4465132196,1171215.391394682,1265920.8546345101,1320441.6905528854,1784344.8689530324
Nagpur,575847.0456870422,623394.1083949166,595188.5401727818,855402.06538646,881205.6101966847,882798.850977985,789467.8785424769,869554.8065328378,1088241.473034902,959090.0326358714,887049.9423136832,885721.8435315539,1008720.4888534133,885721.8435315539,938583.3652837642,887049.9423136832,1116470.2197113803,1116470.2197113803,1008720.4888534133,1360021.3146608865,1019377.464924277,1717385.6013373137,1148924.3753200665,1320441.6905528854,1171215.391394682,1427803.8885254925,1427803.8885254925,3127113.88387156,1586075.6194468746,2592046.7138715596,2923523.2631964707
