District,1992_GDDP_Predicted,1993_GDDP_Predicted,1994_GDDP_Predicted,1995_GDDP_Predicted,1996_GDDP_Predicted,1997_GDDP_Predicted,1998_GDDP_Predicted,1999_GDDP_Predicted,2000_GDDP_Predicted,2001_GDDP_Predicted,2002_GDDP_Predicted,2003_GDDP_Predicted,2004_GDDP_Predicted,2005_GDDP_Predicted,2006_GDDP_Predicted,2007_GDDP_Predicted,2008_GDDP_Predicted,2009_GDDP_Predicted,2010_GDDP_Predicted,2011_GDDP_Predicted,2012_GDDP_Predicted,2013_GDDP_Predicted,2014_GDDP_Predicted,2015_GDDP_Predicted,2016_GDDP_Predicted,2017_GDDP_Predicted,2018_GDDP_Predicted,2019_GDDP_Predicted,2020_GDDP_Predicted,2021_GDDP_Predicted,2022_GDDP_Predicted
Senapati,64778.348599312056,71523.38804808594,64778.348599312056,64778.348599312056,64778.348599312056,68821.03195806642,71523.38804808594,158142.77977658552,84207.14707555683,84207.14707555683,84207.14707555683,84207.14707555683,71523.38804808594,84207.14707555683,84207.14707555683,105783.49409003084,91372.68775484338,84207.14707555683,84207.14707555683,105783.49409003084,84207.14707555683,105783.49409003084,339492.6966680354,339492.6966680354,349081.87015022634,421562.01788161794,453917.34768034617,453917.34768034617,403463.41739346687,493444.78031018935,453917.34768034617
Sangrur,557032.2955830402,453917.34768034617,453917.34768034617,567609.2008423703,575847.0456870422,644633.8016807225,623394.1083949166,624388.2158370167,646909.3118045429,938583.3652837642,824831.5270238817,881205.6101966847,3179837.923649339,881205.6101966847,910492.7646623688,884819.5967879831,881205.6101966847,926095.2569868355,855402.06538646,855402.06538646,905327.1384546497,910492.7646623688,641508.2045567842,641508.2045567842,623394.1083949166,862231.2769874998,862231.2769874998,906813.949993926,884819.5967879831,959090.0326358714,936918.286899739
Thrissur,349081.87015022634,368006.2478726287,368006.2478726287,403463.41739346687,403463.41739346687,368006.2478726287,403463.41739346687,403463.41739346687,453917.34768034617,487167.44180049124,521691.8432132527,627153.9121048021,602834.3978104709,539084.2905274781,557032.2955830402,539084.2905274781,557032.2955830402,539084.2905274781,563868.6428051387,572596.051406564,570453.6510764295,570453.6510764295,403463.41739346687,453917.34768034617,403463.41739346687,572596.051406564,572596.051406564,567609.2008423703,567609.2008423703,595188.5401727818,623394.1083949166
Belgaum,567609.2008423703,623394.1083949166,641508.2045567842,882798.850977985,840873.155357215,752415.3623981061,983753.654628519,935569.0059286448,987670.8934172259,1019377.464924277,967657.0742218789,936898.6795999514,936898.6795999514,962485.9919130796,973445.6824819329,1076723.1145272707,1193067.548206272,984113.497015111,1019377.464924277,1281949.6143211215,1320441.6905528854,1148924.3753200665,1031502.07927281,1171215.391394682,1148924.3753200665,1241083.0605528853,1427803.8885254925,1586075.6194468746,1586075.6194468746,3127113.88387156,2923523.2631964707
Morena,241654.61288758856,374574.98399223364,339492.6966680354,368006.2478726287,376760.9866539024,339492.6966680354,339492.6966680354,374574.98399223364,329191.9243035931,267748.7609663321,374574.98399223364,323933.4020422347,403741.98297757463,403741.98297757463,241654.61288758856,329191.9243035931,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,349081.87015022634,623394.1083949166,637020.4449788313,624388.2158370167,885678.8748888618,805726.7962868309,885721.8435315539,943884.6986487402,1416472.5117805677,936918.286899739
Alwar,453917.34768034617,557032.2955830402,539084.2905274781,623394.1083949166,623394.1083949166,595188.5401727818,641508.2045567842,623394.1083949166,637020.4449788313,793041.2326031245,646909.3118045429,882798.850977985,1022956.328292769,892610.5932916175,855402.06538646,959090.0326358714,1008720.4888534133,1019377.464924277,974486.9242218789,936898.6795999514,1148924.3753200665,1281949.6143211215,1427803.8885254925,1586075.6194468746,1362283.8434763127,1427803.8885254925,1586075.6194468746,2592046.7138715596,1427803.8885254925,3127113.88387156,2923523.2631964707
Murshidabad,339492.6966680354,368006.2478726287,349081.87015022634,368006.2478726287,368006.2478726287,349081.87015022634,349081.87015022634,403463.41739346687,403463.41739346687,403463.41739346687,493444.78031018935,376760.9866539024,487167.44180049124,557032.2955830402,403463.41739346687,557032.2955830402,557032.2955830402,453917.34768034617,557032.2955830402,539084.2905274781,575847.0456870422,595188.5401727818,1038023.6686553545,943884.6986487402,805726.7962868309,937917.038050064,1088241.473034902,2150008.4039426986,973445.6824819329,962485.9919130796,936898.6795999514
Siwan,64778.348599312056,71523.38804808594,68821.03195806642,91372.68775484338,91372.68775484338,84207.14707555683,145906.93815578273,84207.14707555683,145906.93815578273,131261.79494679812,105783.49409003084,166178.91669325964,131261.79494679812,158142.77977658552,158142.77977658552,105783.49409003084,131261.79494679812,91372.68775484338,219108.66102344904,145906.93815578273,105783.49409003084,241654.61288758856,368006.2478726287,368006.2478726287,368006.2478726287,557032.2955830402,539084.2905274781,641508.2045567842,641508.2045567842,623394.1083949166,595188.5401727818
Coimbatore,403463.41739346687,453917.34768034617,453917.34768034617,539084.2905274781,570453.6510764295,570453.6510764295,575847.0456870422,595188.5401727818,623394.1083949166,641508.2045567842,641508.2045567842,641508.2045567842,641508.2045567842,623394.1083949166,623394.1083949166,641508.2045567842,623394.1083949166,802806.9279257131,882798.850977985,1049594.4967161168,882798.850977985,882798.850977985,624388.2158370167,882798.850977985,802806.9279257131,840873.155357215,824831.5270238817,1418473.2561553556,805726.7962868309,885721.8435315539,936918.286899739
Deoria,439986.4724469204,241654.61288758856,241654.61288758856,267748.7609663321,241654.61288758856,166178.91669325964,241654.61288758856,158142.77977658552,241654.61288758856,241654.61288758856,241654.61288758856,335948.63064942934,166178.91669325964,439986.4724469204,241654.61288758856,219108.66102344904,241654.61288758856,219108.66102344904,241654.61288758856,241654.61288758856,241654.61288758856,374574.98399223364,453917.34768034617,453917.34768034617,557032.2955830402,690539.2991887387,641508.2045567842,882798.850977985,637020.4449788313,614519.5812093051,752415.3623981061
Hingoli,403741.98297757463,349081.87015022634,323933.4020422347,394905.39061809675,368006.2478726287,323933.4020422347,394905.39061809675,368006.2478726287,403463.41739346687,420187.16814314673,403463.41739346687,368006.2478726287,368006.2478726287,368006.2478726287,403741.98297757463,368006.2478726287,368006.2478726287,349081.87015022634,368006.2478726287,403463.41739346687,453917.34768034617,414420.19472445734,560028.3941262603,575847.0456870422,567609.2008423703,595188.5401727818,623394.1083949166,637020.4449788313,708218.7501967658,882798.850977985,892610.5932916175
Nabarangapur,71523.38804808594,84207.14707555683,84207.14707555683,145906.93815578273,91372.68775484338,84207.14707555683,105783.49409003084,84207.14707555683,105783.49409003084,84207.14707555683,84207.14707555683,71523.38804808594,84207.14707555683,84207.14707555683,91372.68775484338,84207.14707555683,84207.14707555683,105783.49409003084,91372.68775484338,131261.79494679812,91372.68775484338,105783.49409003084,323933.4020422347,557032.2955830402,557032.2955830402,595188.5401727818,595188.5401727818,623394.1083949166,565378.0035950973,623394.1083949166,641508.2045567842
Jalna,368006.2478726287,453917.34768034617,368006.2478726287,557032.2955830402,572596.051406564,493444.78031018935,560028.3941262603,572596.051406564,565378.0035950973,595188.5401727818,595188.5401727818,595188.5401727818,567609.2008423703,557032.2955830402,368006.2478726287,575847.0456870422,570453.6510764295,574199.359670936,539084.2905274781,641508.2045567842,641508.2045567842,575847.0456870422,1019799.2998888618,869554.8065328378,805726.7962868309,1088241.473034902,983753.654628519,973445.6824819329,973445.6824819329,1057519.953137569,1076723.1145272707
Barmer,304204.9027872174,241654.61288758856,241654.61288758856,329191.9243035931,323933.4020422347,339492.6966680354,368006.2478726287,368006.2478726287,368006.2478726287,403463.41739346687,414420.19472445734,420187.16814314673,403463.41739346687,453917.34768034617,368006.2478726287,421562.01788161794,403463.41739346687,557032.2955830402,570453.6510764295,539084.2905274781,567609.2008423703,560028.3941262603,3127113.88387156,2923523.2631964707,1362283.8434763127,7213368.5730332965,7213368.5730332965,7213368.5730332965,3918536.2928441977,6052447.9059262695,6052447.9059262695
Gulbarga,339492.6966680354,403463.41739346687,557032.2955830402,567609.2008423703,575847.0456870422,574199.359670936,623394.1083949166,824831.5270238817,855402.06538646,752415.3623981061,855402.06538646,641508.2045567842,824831.5270238817,824831.5270238817,802806.9279257131,805726.7962868309,910492.7646623688,910492.7646623688,789467.8785424769,920229.9973212355,973445.6824819329,962485.9919130796,1076723.1145272707,821898.4465132196,1019377.464924277,984113.497015111,1148924.3753200665,1148924.3753200665,984113.497015111,1148924.3753200665,1320441.6905528854
Theni,439986.4724469204,241654.61288758856,241654.61288758856,403741.98297757463,241654.61288758856,241654.61288758856,323933.4020422347,339492.6966680354,323933.4020422347,339492.6966680354,349081.87015022634,367193.56684797263,368006.2478726287,349081.87015022634,323933.4020422347,394905.39061809675,349081.87015022634,368006.2478726287,368006.2478726287,376760.9866539024,394905.39061809675,368006.2478726287,414420.19472445734,403463.41739346687,403463.41739346687,403463.41739346687,403463.41739346687,453917.34768034617,403463.41739346687,453917.34768034617,453917.34768034617
Rewari,403741.98297757463,241654.61288758856,241654.61288758856,323933.4020422347,339492.6966680354,339492.6966680354,339492.6966680354,339492.6966680354,394905.39061809675,368006.2478726287,368006.2478726287,368006.2478726287,368006.2478726287,368006.2478726287,368006.2478726287,368006.2478726287,368006.2478726287,452428.54598634,403463.41739346687,403463.41739346687,557032.2955830402,557032.2955830402,487167.44180049124,453917.34768034617,509911.1493101894,453917.34768034617,557032.2955830402,557032.2955830402,557032.2955830402,542126.2007856356,539084.2905274781
Moradabad,241654.61288758856,241654.61288758856,241654.61288758856,374574.98399223364,374574.98399223364,241654.61288758856,403741.98297757463,374574.98399223364,323933.4020422347,323933.4020422347,323933.4020422347,323933.4020422347,349081.87015022634,323933.4020422347,349081.87015022634,394905.39061809675,339492.6966680354,339492.6966680354,376760.9866539024,367193.56684797263,368006.2478726287,394905.39061809675,572596.051406564,539084.2905274781,567609.2008423703,641508.2045567842,595188.5401727818,623394.1083949166,595188.5401727818,623394.1083949166,641508.2045567842
Mandi,145906.93815578273,145906.93815578273,131261.79494679812,158142.77977658552,219108.66102344904,158142.77977658552,304204.9027872174,241654.61288758856,241654.61288758856,241654.61288758856,323933.4020422347,323933.4020422347,376760.9866539024,339492.6966680354,323933.4020422347,368006.2478726287,349081.87015022634,394905.39061809675,376760.9866539024,368006.2478726287,368006.2478726287,368006.2478726287,453917.34768034617,453917.34768034617,493444.78031018935,567609.2008423703,567609.2008423703,567609.2008423703,557032.2955830402,539084.2905274781,567609.2008423703
Dungarpur,166178.91669325964,166178.91669325964,219108.66102344904,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,393547.2981825064,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,403741.98297757463,241654.61288758856,323933.4020422347,241654.61288758856,349081.87015022634,374574.98399223364,329191.9243035931,403741.98297757463,349081.87015022634,557032.2955830402,521691.8432132527,557032.2955830402,560028.3941262603,567609.2008423703,575847.0456870422,565378.0035950973,595188.5401727818,623394.1083949166
Kanniyakumari,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,323933.4020422347,339492.6966680354,376760.9866539024,368006.2478726287,368006.2478726287,368006.2478726287,420187.16814314673,376554.85293565236,368006.2478726287,403463.41739346687,368006.2478726287,403463.41739346687,403463.41739346687,403463.41739346687,403463.41739346687,403463.41739346687,368006.2478726287,368006.2478726287,368006.2478726287,368006.2478726287,368006.2478726287,403463.41739346687,403463.41739346687,453917.34768034617,453917.34768034617
Chitradurga,241654.61288758856,403741.98297757463,323933.4020422347,376760.9866539024,403463.41739346687,368006.2478726287,557032.2955830402,427036.1972800199,567609.2008423703,557032.2955830402,560028.3941262603,539084.2905274781,595188.5401727818,565378.0035950973,567609.2008423703,623394.1083949166,560202.6217769155,802806.9279257131,624388.2158370167,646909.3118045429,906813.949993926,623394.1083949166,936918.286899739,887049.9423136832,936918.286899739,973445.6824819329,973445.6824819329,962485.9919130796,962485.9919130796,1019377.464924277,998101.9872675121
Dakshina Kannada,241654.61288758856,403741.98297757463,323933.4020422347,368006.2478726287,368006.2478726287,367193.56684797263,403463.41739346687,403463.41739346687,453917.34768034617,453917.34768034617,453917.34768034617,453917.34768034617,627153.9121048021,453917.34768034617,403463.41739346687,453917.34768034617,493444.78031018935,427036.1972800199,557032.2955830402,570453.6510764295,567609.2008423703,539084.2905274781,739631.1111701375,567609.2008423703,539084.2905274781,623394.1083949166,623394.1083949166,641508.2045567842,623394.1083949166,623394.1083949166,624388.2158370167
Gaya,166178.91669325964,219108.66102344904,166178.91669325964,219108.66102344904,219108.66102344904,166178.91669325964,219108.66102344904,166178.91669325964,219108.66102344904,219108.66102344904,439986.4724469204,219108.66102344904,241654.61288758856,439986.4724469204,219108.66102344904,335948.63064942934,219108.66102344904,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,339492.6966680354,637020.4449788313,881205.6101966847,987286.4998888619,936918.286899739,887049.9423136832,936898.6795999514,1019377.464924277,1019377.464924277,1019377.464924277
Churu,368006.2478726287,368006.2478726287,403463.41739346687,509911.1493101894,539084.2905274781,752799.655110249,637020.4449788313,623394.1083949166,938583.3652837642,910492.7646623688,840873.155357215,752415.3623981061,3179837.923649339,824905.6724204426,938583.3652837642,1088241.473034902,892472.9878306766,987670.8934172259,973445.6824819329,1284291.239407956,896489.1145272714,821898.4465132196,1586075.6194468746,1586075.6194468746,1427803.8885254925,2923523.2631964707,2923523.2631964707,2923523.2631964707,2592046.7138715596,2923523.2631964707,2923523.2631964707
Nagaon,335948.63064942934,304204.9027872174,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,213401.86512803702,241654.61288758856,241654.61288758856,241654.61288758856,267748.7609663321,403741.98297757463,403741.98297757463,323933.4020422347,329191.9243035931,339492.6966680354,323933.4020422347,539084.2905274781,567609.2008423703,570453.6510764295,560202.6217769155,560202.6217769155,595188.5401727818,595188.5401727818,623394.1083949166,641508.2045567842
Narsimhapur,323933.4020422347,376760.9866539024,368006.2478726287,403463.41739346687,509911.1493101894,367193.56684797263,453917.34768034617,557032.2955830402,557032.2955830402,403463.41739346687,403463.41739346687,368006.2478726287,557032.2955830402,403463.41739346687,420187.16814314673,521691.8432132527,539084.2905274781,368006.2478726287,349081.87015022634,368006.2478726287,453917.34768034617,539084.2905274781,623394.1083949166,641508.2045567842,623394.1083949166,838350.9598388991,881205.6101966847,869554.8065328378,910492.7646623688,1069483.2208291702,824905.6724204426
Bishnupur,71523.38804808594,84207.14707555683,71523.38804808594,71523.38804808594,71523.38804808594,84207.14707555683,84207.14707555683,71523.38804808594,84207.14707555683,84207.14707555683,91372.68775484338,84207.14707555683,91372.68775484338,84207.14707555683,71523.38804808594,84207.14707555683,84207.14707555683,84207.14707555683,84207.14707555683,84207.14707555683,84207.14707555683,84207.14707555683,166178.91669325964,166178.91669325964,166178.91669325964,166178.91669325964,166178.91669325964,219108.66102344904,219108.66102344904,219108.66102344904,304204.9027872174
Lucknow,403463.41739346687,403463.41739346687,403463.41739346687,557032.2955830402,557032.2955830402,557032.2955830402,557032.2955830402,572596.051406564,570453.6510764295,574199.359670936,567609.2008423703,560028.3941262603,567609.2008423703,575847.0456870422,575847.0456870422,623394.1083949166,595188.5401727818,641508.2045567842,740322.5516807225,921517.6627426908,840873.155357215,840873.155357215,1088241.473034902,920229.9973212355,1284291.239407956,962485.9919130796,987670.8934172259,936898.6795999514,962485.9919130796,987670.8934172259,1019377.464924277
Chitrakoot,84207.14707555683,84207.14707555683,84207.14707555683,105783.49409003084,131261.79494679812,105783.49409003084,152182.30078409478,145906.93815578273,166178.91669325964,145906.93815578273,158142.77977658552,158142.77977658552,219108.66102344904,158142.77977658552,158142.77977658552,304204.9027872174,158142.77977658552,131261.79494679812,158142.77977658552,166178.91669325964,166178.91669325964,213401.86512803702,403463.41739346687,403463.41739346687,405773.7453101894,557032.2955830402,557032.2955830402,572596.051406564,557032.2955830402,572596.051406564,539084.2905274781
Jamnagar,323933.4020422347,420187.16814314673,420187.16814314673,572596.051406564,521691.8432132527,752799.655110249,623394.1083949166,802806.9279257131,882798.850977985,882798.850977985,862231.2769874998,641508.2045567842,708218.7501967658,641508.2045567842,623394.1083949166,938583.3652837642,862231.2769874998,855402.06538646,802806.9279257131,892610.5932916175,1038023.6686553545,910492.7646623688,1284291.239407956,973445.6824819329,973445.6824819329,1088230.7558037648,1060175.860254961,1019377.464924277,967657.0742218789,1019377.464924277,1019377.464924277
Pilibhit,219108.66102344904,219108.66102344904,219108.66102344904,219108.66102344904,219108.66102344904,145906.93815578273,166178.91669325964,166178.91669325964,166178.91669325964,219108.66102344904,219108.66102344904,145906.93815578273,219108.66102344904,219108.66102344904,213401.86512803702,241654.61288758856,241654.61288758856,158142.77977658552,241654.61288758856,288442.7184709439,335948.63064942934,219108.66102344904,557032.2955830402,557032.2955830402,557032.2955830402,565378.0035950973,575847.0456870422,560202.6217769155,567609.2008423703,538872.4551102489,623394.1083949166
Nanded,453917.34768034617,567609.2008423703,739631.1111701375,560202.6217769155,623394.1083949166,570453.6510764295,641508.2045567842,641508.2045567842,646909.3118045429,637020.4449788313,793041.2326031245,614519.5812093051,641508.2045567842,623394.1083949166,557032.2955830402,646909.3118045429,938583.3652837642,623394.1083949166,623394.1083949166,881205.6101966847,959090.0326358714,862231.2769874998,962485.9919130796,967657.0742218789,936898.6795999514,1019377.464924277,998101.9872675121,1148924.3753200665,1148924.3753200665,1217445.4455528853,1362283.8434763127
Karimnagar,824831.5270238817,910492.7646623688,862231.2769874998,892472.9878306766,939999.1544640926,936918.286899739,973445.6824819329,962485.9919130796,1019377.464924277,1019377.464924277,1019377.464924277,998101.9872675121,984113.497015111,1019377.464924277,1019377.464924277,1148924.3753200665,1148924.3753200665,1241083.0605528853,1265920.8546345101,1320441.6905528854,1427803.8885254925,1362283.8434763127,1148924.3753200665,1171215.391394682,1148924.3753200665,1784344.8689530324,1586075.6194468746,2923523.2631964707,2923523.2631964707,3477859.1157347565,6043817.986264271
Upper Subansiri,46223.00523726887,46223.00523726887,39303.80468026484,46223.00523726887,39303.80468026484,46223.00523726887,46223.00523726887,46223.00523726887,46223.00523726887,39303.80468026484,46223.00523726887,46223.00523726887,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,158142.77977658552,219108.66102344904,158142.77977658552,323933.4020422347,368006.2478726287,241654.61288758856,131261.79494679812,145906.93815578273,166178.91669325964
Farrukhabad,219108.66102344904,219108.66102344904,335948.63064942934,241654.61288758856,241654.61288758856,219108.66102344904,241654.61288758856,233709.96247287688,241654.61288758856,241654.61288758856,304204.9027872174,219108.66102344904,158142.77977658552,158142.77977658552,166178.91669325964,241654.61288758856,219108.66102344904,219108.66102344904,241654.61288758856,439986.4724469204,219108.66102344904,219108.66102344904,368006.2478726287,368006.2478726287,403463.41739346687,557032.2955830402,557032.2955830402,557032.2955830402,557032.2955830402,557032.2955830402,539084.2905274781
Munger,71523.38804808594,84207.14707555683,84207.14707555683,105783.49409003084,158142.77977658552,131261.79494679812,145906.93815578273,158142.77977658552,166178.91669325964,158142.77977658552,166178.91669325964,145906.93815578273,158142.77977658552,166178.91669325964,145906.93815578273,158142.77977658552,145906.93815578273,158142.77977658552,145906.93815578273,145906.93815578273,145906.93815578273,158142.77977658552,323933.4020422347,339492.6966680354,349081.87015022634,394905.39061809675,368006.2478726287,368006.2478726287,403463.41739346687,403463.41739346687,403463.41739346687
Krishnagiri,403741.98297757463,323933.4020422347,323933.4020422347,368006.2478726287,368006.2478726287,368006.2478726287,368006.2478726287,403463.41739346687,493444.78031018935,557032.2955830402,572596.051406564,557032.2955830402,539084.2905274781,557032.2955830402,557032.2955830402,602834.3978104709,539084.2905274781,575847.0456870422,567609.2008423703,575847.0456870422,567609.2008423703,575847.0456870422,623394.1083949166,637020.4449788313,623394.1083949166,824831.5270238817,910492.7646623688,812221.3866348083,885721.8435315539,887049.9423136832,962485.9919130796
Buxar,64778.348599312056,71523.38804808594,71523.38804808594,84207.14707555683,84207.14707555683,84207.14707555683,105783.49409003084,84207.14707555683,91372.68775484338,105783.49409003084,105783.49409003084,105783.49409003084,131261.79494679812,84207.14707555683,91372.68775484338,105783.49409003084,84207.14707555683,105783.49409003084,158142.77977658552,145906.93815578273,131261.79494679812,158142.77977658552,339492.6966680354,376760.9866539024,376760.9866539024,368006.2478726287,403463.41739346687,557032.2955830402,557032.2955830402,572596.051406564,539084.2905274781
Allahabad,368006.2478726287,403463.41739346687,414420.19472445734,453917.34768034617,453917.34768034617,403463.41739346687,403463.41739346687,403463.41739346687,453917.34768034617,557032.2955830402,453917.34768034617,403463.41739346687,453917.34768034617,493444.78031018935,453917.34768034617,602834.3978104709,557032.2955830402,557032.2955830402,567609.2008423703,575847.0456870422,641508.2045567842,802806.9279257131,1008720.4888534133,1284291.239407956,987670.8934172259,1179294.7890212245,1114397.8592062166,1148924.3753200665,1148924.3753200665,1148924.3753200665,1217445.4455528853
Chandauli,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,439986.4724469204,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,304204.9027872174,241654.61288758856,439986.4724469204,439986.4724469204,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,323933.4020422347,323933.4020422347,403741.98297757463,557032.2955830402,557032.2955830402,557032.2955830402,595188.5401727818,623394.1083949166,641508.2045567842,623394.1083949166,623394.1083949166,624388.2158370167
Tumkur,403463.41739346687,521691.8432132527,563868.6428051387,595188.5401727818,623394.1083949166,623394.1083949166,882798.850977985,882798.850977985,881205.6101966847,867307.5598888618,885678.8748888618,885678.8748888618,936918.286899739,869554.8065328378,1087048.4695899698,887049.9423136832,884819.5967879831,920229.9973212355,920229.9973212355,1284291.239407956,967657.0742218789,973445.6824819329,1019377.464924277,1076723.1145272707,1019377.464924277,984113.497015111,1148924.3753200665,1265920.8546345101,1320441.6905528854,1362283.8434763127,1427803.8885254925
Malkangiri,64778.348599312056,84207.14707555683,84207.14707555683,105783.49409003084,84207.14707555683,84207.14707555683,91372.68775484338,91372.68775484338,131261.79494679812,145906.93815578273,158142.77977658552,84207.14707555683,91372.68775484338,91372.68775484338,131261.79494679812,105783.49409003084,91372.68775484338,131261.79494679812,105783.49409003084,105783.49409003084,131261.79494679812,158142.77977658552,453917.34768034617,570453.6510764295,403463.41739346687,595188.5401727818,623394.1083949166,690539.2991887387,557032.2955830402,560028.3941262603,727650.655110249
Saiha,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,40643.74304635062,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,40643.74304635062,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,241654.61288758856,241654.61288758856,213401.86512803702,241654.61288758856,374574.98399223364,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856
Bijapur,39303.80468026484,39303.80468026484,39303.80468026484,40643.74304635062,39303.80468026484,39303.80468026484,39303.80468026484,39303.80468026484,68821.03195806642,61500.507499168925,40643.74304635062,64778.348599312056,116624.63098930554,64778.348599312056,64778.348599312056,64778.348599312056,40643.74304635062,64778.348599312056,64778.348599312056,64778.348599312056,68821.03195806642,84207.14707555683,560028.3941262603,560202.6217769155,453917.34768034617,840873.155357215,910492.7646623688,910492.7646623688,405773.7453101894,560028.3941262603,623394.1083949166
Parbhani,323933.4020422347,403463.41739346687,368006.2478726287,453917.34768034617,427036.1972800199,421562.01788161794,557032.2955830402,557032.2955830402,570453.6510764295,570453.6510764295,556351.8163915195,575847.0456870422,539084.2905274781,453917.34768034617,368006.2478726287,539084.2905274781,572596.051406564,539084.2905274781,557032.2955830402,567609.2008423703,595188.5401727818,752799.655110249,882798.850977985,840873.155357215,855402.06538646,1038023.6686553545,3179837.923649339,1088241.473034902,1019223.4754075856,920229.9973212355,973445.6824819329
Pratapgarh,166178.91669325964,219108.66102344904,439986.4724469204,241654.61288758856,241654.61288758856,393547.2981825064,241654.61288758856,241654.61288758856,233709.96247287688,241654.61288758856,439986.4724469204,241654.61288758856,241654.61288758856,241654.61288758856,219108.66102344904,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,403741.98297757463,403741.98297757463,241654.61288758856,539084.2905274781,560028.3941262603,563868.6428051387,575847.0456870422,595188.5401727818,623394.1083949166,565378.0035950973,595188.5401727818,623394.1083949166
West Godavari,403463.41739346687,557032.2955830402,557032.2955830402,595188.5401727818,567609.2008423703,565378.0035950973,575847.0456870422,623394.1083949166,623394.1083949166,623394.1083949166,855402.06538646,824831.5270238817,1038023.6686553545,824831.5270238817,802806.9279257131,1069483.2208291702,906813.949993926,936918.286899739,1571184.5537297009,959090.0326358714,1008720.4888534133,1181929.7617805677,805726.7962868309,937122.9378306767,1571184.5537297009,983753.654628519,973445.6824819329,1019377.464924277,967657.0742218789,1019377.464924277,821898.4465132196
Nalanda,84207.14707555683,84207.14707555683,84207.14707555683,145906.93815578273,145906.93815578273,158142.77977658552,219108.66102344904,166178.91669325964,219108.66102344904,166178.91669325964,166178.91669325964,145906.93815578273,158142.77977658552,166178.91669325964,219108.66102344904,219108.66102344904,219108.66102344904,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,323933.4020422347,453917.34768034617,539084.2905274781,595188.5401727818,623394.1083949166,644633.8016807225,752415.3623981061,862231.2769874998,862231.2769874998,938583.3652837642
Korba,241654.61288758856,241654.61288758856,374574.98399223364,323933.4020422347,339492.6966680354,323933.4020422347,339492.6966680354,339492.6966680354,394905.39061809675,349081.87015022634,368006.2478726287,376760.9866539024,420187.16814314673,368006.2478726287,368006.2478726287,403463.41739346687,452428.54598634,453917.34768034617,487167.44180049124,521691.8432132527,567609.2008423703,567609.2008423703,1181929.7617805677,894665.2166731625,926095.2569868355,962485.9919130796,987670.8934172259,936898.6795999514,973445.6824819329,936898.6795999514,1019377.464924277
Sindhudurg,166178.91669325964,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,241654.61288758856,394905.39061809675,339492.6966680354,368006.2478726287,368006.2478726287,368006.2478726287,368006.2478726287,368006.2478726287,368006.2478726287,323933.4020422347,368006.2478726287,339492.6966680354,367193.56684797263,339492.6966680354,368006.2478726287,368006.2478726287,414420.19472445734,368006.2478726287,376554.85293565236,368006.2478726287,539084.2905274781,567609.2008423703,567609.2008423703,557032.2955830402,539084.2905274781,567609.2008423703
Hassan,219108.66102344904,374574.98399223364,329191.9243035931,368006.2478726287,368006.2478726287,376760.9866539024,453917.34768034617,453917.34768034617,557032.2955830402,572596.051406564,557032.2955830402,539084.2905274781,575847.0456870422,567609.2008423703,567609.2008423703,623394.1083949166,595188.5401727818,641508.2045567842,595188.5401727818,623394.1083949166,646909.3118045429,623394.1083949166,881205.6101966847,910492.7646623688,938583.3652837642,959090.0326358714,892472.9878306766,1008720.4888534133,1284291.239407956,1057519.953137569,1019377.464924277
Guna,241654.61288758856,241654.61288758856,323933.4020422347,420187.16814314673,368006.2478726287,329191.9243035931,376760.9866539024,368006.2478726287,424027.5393101894,497745.5011171107,376760.9866539024,403741.98297757463,376760.9866539024,323933.4020422347,351963.89164495654,349081.87015022634,339492.6966680354,241654.61288758856,267748.7609663321,403741.98297757463,323933.4020422347,376760.9866539024,910492.7646623688,905327.1384546497,906813.949993926,889882.84801085,1181929.7617805677,1284291.239407956,1284291.239407956,1284291.239407956,973445.6824819329
