Col_A_Block_1,Col_B_Block_1,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
34,Upper Siang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,23.0,17.0,21.0,0.0,0.0,0.0,20.0,28.0,0.0,0.0,0.0,0.0,0.0,2355.0,3076.0,2747.0,10341.0,18827.0,9583.0,2737.0,2625.0,3201.0
35,Upper Subansiri,0.0,0.0,32.0,0.0,16.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,40.0,61.0,114.0,156.0,146.0,101.0,154.0,168.0,208.0,233.0,3856.0,5927.0,3763.0,16757.0,23014.0,8608.0,2807.0,3598.0,5001.0
36,West Kameng,202.0,123.0,397.0,315.0,497.0,530.0,475.0,766.0,563.0,512.0,724.0,356.0,806.0,585.0,707.0,1063.0,867.0,863.0,1361.0,1137.0,1154.0,1046.0,12611.0,15696.0,10786.0,23372.0,29172.0,18226.0,14108.0,16189.0,19466.0
37,West Siang,28.0,0.0,40.0,49.0,95.0,142.0,82.0,124.0,96.0,134.0,135.0,60.0,148.0,92.0,134.0,216.0,258.0,265.0,337.0,284.0,436.0,407.0,6970.0,8644.0,4915.0,16205.0,21804.0,11827.0,6819.0,8417.0,12309.0
38,Baksa,978.0,631.0,631.0,462.0,1020.0,706.0,880.0,1353.0,1013.0,644.0,1313.0,685.0,2281.0,1768.0,1415.0,2474.0,2906.0,1971.0,2780.0,2755.0,2426.0,1333.0,19697.0,21731.0,19104.0,23188.0,24072.0,24419.0,22745.0,24294.0,25292.0
39,Barpeta,2800.0,1903.0,2293.0,2802.0,3913.0,2685.0,3148.0,3481.0,3243.0,2773.0,2831.0,2238.0,3752.0,3385.0,2730.0,3947.0,4618.0,4380.0,4865.0,5267.0,5051.0,4201.0,17512.0,19899.0,18084.0,22038.0,22827.0,23138.0,22727.0,25344.0,27871.0
40,Bongaigaon,1390.0,1056.0,1200.0,1246.0,2681.0,1836.0,2551.0,3009.0,3002.0,2293.0,2569.0,1442.0,2908.0,2699.0,2814.0,3595.0,3731.0,4345.0,4365.0,4991.0,4567.0,3665.0,10559.0,11533.0,10777.0,12425.0,12734.0,13039.0,13269.0,14268.0,15284.0
41,Cachar,6027.0,6127.0,5340.0,5777.0,7015.0,7772.0,8694.0,9694.0,8925.0,7491.0,9019.0,5618.0,8015.0,6438.0,6044.0,9544.0,9358.0,8078.0,8680.0,9827.0,9648.0,10514.0,29455.0,33017.0,23927.0,32512.0,33830.0,35923.0,36503.0,35967.0,38478.0
42,Chirang,2299.0,2063.0,1906.0,2235.0,3596.0,2986.0,2895.0,3013.0,3263.0,3170.0,3203.0,2858.0,3430.0,3458.0,3072.0,3708.0,3733.0,3992.0,4036.0,4529.0,4904.0,4723.0,11337.0,11755.0,10006.0,14363.0,13408.0,14986.0,14671.0,14574.0,14922.0
43,Darrang,2202.0,1433.0,1858.0,2017.0,2891.0,2483.0,2949.0,3389.0,2953.0,2335.0,2612.0,2209.0,4055.0,3879.0,4005.0,4521.0,4552.0,4500.0,5562.0,5936.0,6702.0,5425.0,13598.0,16018.0,15104.0,18033.0,18254.0,18962.0,17800.0,19405.0,20767.0
44,Dhemaji,96.0,40.0,94.0,109.0,257.0,196.0,156.0,222.0,172.0,320.0,290.0,246.0,608.0,819.0,808.0,965.0,1080.0,1052.0,1548.0,1667.0,1500.0,1259.0,11635.0,16880.0,9379.0,20156.0,20895.0,19979.0,16984.0,17264.0,20822.0
45,Dhubri,1546.0,1049.0,1156.0,1907.0,1885.0,2249.0,2319.0,2633.0,2704.0,1908.0,2641.0,1392.0,2766.0,2756.0,3156.0,4023.0,4117.0,2855.0,4592.0,3793.0,3750.0,2938.0,20734.0,24744.0,24660.0,29514.0,30875.0,31662.0,32170.0,33973.0,36262.0
46,Dibrugarh,25222.0,33556.0,40240.0,38958.0,35331.0,41001.0,40195.0,35378.0,41425.0,39578.0,37702.0,40878.0,46175.0,45504.0,36829.0,35469.0,34470.0,39888.0,37598.0,38401.0,43244.0,43723.0,63060.0,70704.0,65884.0,65809.0,60250.0,61164.0,63358.0,64508.0,70040.0
47,Dima Hasao,835.0,1662.0,1944.0,2291.0,1800.0,1317.0,1747.0,3213.0,2156.0,2427.0,2238.0,1405.0,2109.0,2137.0,2317.0,4021.0,3247.0,3981.0,3946.0,2934.0,4277.0,4006.0,32694.0,34874.0,16954.0,24930.0,28737.0,23509.0,17869.0,18076.0,21400.0
48,Goalpara,1305.0,2563.0,2940.0,3569.0,2673.0,3349.0,3968.0,5512.0,3712.0,2776.0,2498.0,1325.0,2444.0,2840.0,2493.0,5264.0,6294.0,8379.0,10284.0,7831.0,9902.0,8943.0,19668.0,22038.0,21097.0,23905.0,24163.0,24302.0,24818.0,26877.0,27681.0
49,Golaghat,3093.0,5120.0,4550.0,5811.0,9945.0,10181.0,11048.0,12617.0,15159.0,16263.0,16677.0,13150.0,15984.0,14724.0,11544.0,14953.0,13488.0,13713.0,16223.0,18933.0,21309.0,20579.0,37721.0,40800.0,37298.0,46170.0,45576.0,49417.0,48617.0,52464.0,54397.0
50,Hailakandi,2224.0,2235.0,1723.0,2017.0,2363.0,2669.0,2896.0,3468.0,2885.0,2253.0,2755.0,1653.0,2371.0,2073.0,2033.0,2840.0,2914.0,2351.0,2663.0,2788.0,2121.0,1930.0,11271.0,14021.0,9153.0,12213.0,12545.0,13433.0,12619.0,12586.0,13313.0
51,Jorhat,4839.0,5296.0,5449.0,6065.0,7891.0,7993.0,7129.0,7592.0,8985.0,9028.0,8331.0,6812.0,9264.0,8289.0,7711.0,9495.0,9201.0,9208.0,10841.0,11930.0,12475.0,11676.0,23371.0,27059.0,23108.0,29354.0,30452.0,31345.0,27520.0,30615.0,33637.0
